disease_name,Duration of Treatment,dietary_advice,lifestyle_changes,herbs,herbs,dosha_involvement,dietary_advice,yoga_pranayama,total_cases
Kala-azar,1-3 months,"High-protein, Hydrating foods",Exposure to insects,None specific,None specific,Pitta,"Avoid exposure to sandflies; consume light, nutritious food.",None specific,1
Kawasaki Disease,2-3 months,"Balanced, Anti-inflammatory",High exposure to infections,None specific,None specific,"Pitta, Vata",Avoid fatty foods; engage in gentle exercises and adequate rest.,None specific,1
Kearns-Sayre Syndrome,Lifelong,"High-protein, Low-sugar",Sedentary lifestyle,None specific,None specific,"Vata, Pitta","Avoid stress; maintain a healthy, balanced diet rich in antioxidants.",None specific,1
Kidney Cancer,6-12 months,"Low-salt, High-antioxidant",Sedentary lifestyle,None specific,"Amla, Guduchi","Kapha, Vata",Avoid excess salt and processed foods; maintain hydration.,None specific,2
Kidney Stones,1-3 months,"High-fluid, Low-oxalate",Sedentary lifestyle,None specific,None specific,"Vata, Kapha",Drink plenty of water; avoid high-oxalate foods like spinach.,None specific,2
Kleine-Levin Syndrome,Varies,"High-protein, Low-carb",Sleep disturbances,None specific,None specific,Vata,Avoid excessive screen time; establish regular sleep patterns.,None specific,1
Klinefelter Syndrome,Lifelong,"Balanced, Low-fat",Sedentary lifestyle,None specific,"Ashwagandha, Shatavari","Vata, Pitta",Maintain a balanced diet; practice physical activity regularly.,None specific,1
Krabbe Disease,Lifelong,"High-protein, Low-sugar",Limited physical activity,None specific,None specific,"Vata, Pitta",Engage in gentle exercises; focus on a nutrient-dense diet.,None specific,1
Kyasanur Forest Disease,1-2 months,"High-fluid, High-antioxidant","Outdoor, Agricultural work",None specific,None specific,Kapha,Avoid contact with ticks; use neem-based repellent.,None specific,1
Langerhans Cell Histiocytosis,1-3 months,"Balanced, Low-fat",Sedentary lifestyle,None specific,None specific,Pitta,Avoid processed foods; engage in light exercise.,None specific,1
Larsen Syndrome,Lifelong,"High-protein, Low-sugar",Limited physical activity,None specific,None specific,Vata,Avoid excessive physical strain; consume calcium-rich foods.,"Physical Therapy, Joint Mobility Exercises",1
Lassa Fever,2-4 weeks,"High-fluid, Hydrating foods","Rural, Unsanitary conditions",None specific,None specific,"Vata, Pitta","Avoid contact with rodents; consume light, nutritious meals.",None specific,1
Leigh Syndrome,Lifelong,"High-protein, Low-sugar",Sedentary lifestyle,None specific,None specific,Vata,Focus on brain-boosting foods; engage in gentle cognitive exercises.,None specific,1
Leishmaniasis,1-6 months,"Balanced, Anti-inflammatory","Outdoor, Rural environments",None specific,"Guduchi, Triphala",Pitta,Avoid exposure to sandflies; consume a diet rich in iron and protein.,None specific,1
Leprosy,6-12 months,"High-protein, Balanced","Rural, Poor sanitation",None specific,"Amla, Guduchi",Pitta,"Maintain hygiene; consume a nutritious, balanced diet.",None specific,2
Leptospirosis,1-2 weeks,"High-fluid, Hydrating foods","Rural, Agricultural work",None specific,None specific,"Vata, Pitta",Drink plenty of water; avoid contaminated water sources.,None specific,1
Lesch-Nyhan Syndrome,Lifelong,"High-protein, Low-sugar",Sedentary lifestyle,None specific,None specific,"Vata, Pitta",Focus on mental health; avoid triggering stimuli.,None specific,1
Leukemia,6 months to several years,"Low-fat, High-protein",Sedentary lifestyle,None specific,"Amla, Ashwagandha","Vata, Pitta",Eat a nutrient-rich diet; maintain a healthy weight and exercise regularly.,None specific,2
Leukodystrophy,Lifelong,"High-protein, Low-sugar",Limited physical activity,None specific,None specific,"Vata, Pitta","Avoid stress; consume a nutrient-rich, antioxidant-rich diet.",None specific,1
Liddle Syndrome,Lifelong,"Low-sodium, Balanced",Sedentary lifestyle,None specific,None specific,"Vata, Kapha",Reduce salt intake; consume potassium-rich foods.,None specific,1
Lipid Storage Disease,Lifelong,"High-protein, Low-sugar",Sedentary lifestyle,None specific,None specific,"Vata, Kapha",Focus on healthy fats; avoid excessive sugar and processed foods.,None specific,1
Liver Cancer,6 months to several years,"Low-fat, High-fiber",Limited physical activity,None specific,"Amla, Turmeric, Guduchi",Pitta,Avoid alcohol and processed foods; consume antioxidant-rich foods.,None specific,1
Liver Cirrhosis,Lifelong,"Low-fat, High-fiber",Sedentary lifestyle,None specific,"Amla, Turmeric, Guduchi",Pitta,Avoid alcohol; consume a liver-supportive diet rich in antioxidants.,"Liver Health, Yoga for Detox",1
Liver Disorders,Varies,"Low-fat, High-fiber",Sedentary lifestyle,None specific,"Amla, Turmeric, Guduchi","Pitta, Kapha",Avoid fatty foods; increase vitamin C intake to support liver function.,Yoga for Detoxification,1
Loeys-Dietz Syndrome,Lifelong,"High-protein, Balanced",Limited physical activity,None specific,None specific,Vata,Maintain regular exercise; avoid high-sodium foods.,None specific,1
Loiasis,1-3 months,"High-fluid, Hydrating foods","Rural, Agricultural work",None specific,None specific,"Vata, Kapha",Avoid mosquito bites; maintain a healthy diet with plenty of fluids.,None specific,1
Lowe Syndrome,Lifelong,"High-protein, Low-sugar",Limited physical activity,None specific,None specific,"Vata, Pitta",Consume a diet rich in omega-3 fatty acids; maintain eye health.,None specific,1
Lung Cancer,6-12 months,"Low-fat, High-protein",Sedentary lifestyle,None specific,"Amla, Turmeric, Ashwagandha",Pitta,Avoid smoking; include anti-inflammatory foods in the diet.,None specific,1
Lupus,Lifelong,Anti-inflammatory diet,Sedentary lifestyle,None specific,"Ashwagandha, Guduchi",Pitta,"Avoid sun exposure; consume a balanced, anti-inflammatory diet.",None specific,2
Lyme Disease,1-3 months,"High-protein, Balanced","Outdoor work, Hiking",None specific,None specific,"Vata, Pitta",Avoid tick bites; consume anti-inflammatory foods like garlic and ginger.,None specific,1
Lymphatic Filariasis,6-12 months,"High-fluid, Balanced diet","Agricultural work, Rural",None specific,None specific,"Vata, Kapha",Avoid mosquito exposure; maintain good hygiene and elevate swollen limbs.,None specific,1
Lymphoma,6 months to several years,"Low-fat, High-protein",Sedentary lifestyle,None specific,"Amla, Ashwagandha","Pitta, Vata",Maintain a healthy immune system; consume a nutrient-dense diet.,None specific,2
Maffucci Syndrome,Lifelong,"High-protein, Low-sugar",Limited physical activity,None specific,None specific,Vata,Avoid high-fat foods; engage in regular exercise and stretching.,Physical Therapy for Mobility,1
Malaria,1-2 weeks,"High-fluid, Hydrating foods","Agricultural work, Rural","Artemisinin, Herbal Remedies","Neem, Turmeric, Guduchi",Pitta,Avoid mosquito exposure; consume a diet rich in fruits and vegetables.,None specific,2
Mansonelliasis,1-3 months,"High-fluid, Hydrating foods","Agricultural work, Rural",None specific,None specific,Kapha,Avoid mosquito exposure; maintain a healthy lifestyle with regular exercise.,None specific,1
Maple Syrup Urine Disease,Lifelong,"High-protein, Low-sugar",Limited physical activity,None specific,None specific,"Vata, Kapha","Avoid protein-rich foods; consume a low-protein, balanced diet.",None specific,1
Marburg,Acute phase (1-2 weeks),"Balanced, Hydrating foods",Limited physical activity,0,0,"Vata, Pitta",Avoid exposure to infected animals; consume nutrient-dense foods.,0,1
Marburg Virus Disease,2-4 weeks,"Balanced, Hydrating foods",Limited physical activity,None specific,None specific,"Vata, Pitta",Prevent exposure to infected individuals; engage in rest and hydration.,None specific,1
Marfan Syndrome,Lifelong,"High-protein, Low-fat",Limited physical activity,None specific,None specific,Vata,Avoid strenuous physical activity; focus on heart-healthy foods.,None specific,1
McCune-Albright Syndrome,Lifelong,"Low-fat, High-protein",Limited physical activity,None specific,None specific,"Vata, Pitta",Maintain a balanced diet; avoid stress and ensure proper bone health.,None specific,1
Measles,1-2 weeks,"Vitamin-rich, Balanced",Exposure to infected people,"Vitamin A, Herbal Remedies",None specific,Pitta,Ensure proper vaccination; maintain hydration and a balanced diet.,None specific,2
Melanoma,6 months to several years,"Low-fat, High-protein",Outdoor activities,None specific,"Aloe Vera, Turmeric",Pitta,Avoid excessive sun exposure; consume antioxidant-rich foods like berries.,None specific,1
Melioidosis,1-3 months,"High-fluid, Hydrating foods","Agricultural work, Rural",None specific,None specific,Kapha,"Avoid exposure to contaminated water; consume a healthy, balanced diet.",None specific,1
Meningitis,2-4 weeks,"Vitamin-rich, Balanced",Sedentary lifestyle,None specific,None specific,Pitta,Maintain hydration; avoid exposure to infected individuals.,None specific,1
Menkes Disease,Lifelong,"Low-fat, High-protein",Limited physical activity,None specific,None specific,"Vata, Pitta","Ensure proper nutrient intake; focus on a balanced, high-calcium diet.",None specific,1
Menopause,Lifelong,"High-calcium, Balanced diet",Sedentary lifestyle,"Herbal Remedies, Lifestyle Changes","Ashwagandha, Shatavari","Vata, Pitta",Avoid caffeine; consume cooling foods like cucumbers and mint.,Yoga for Menopause Symptoms,1
Menstrual Disorders,Varies,"Low-fat, High-protein",Sedentary lifestyle,"Herbal Remedies, Lifestyle Changes","Ashwagandha, Shatavari","Vata, Pitta",Maintain a balanced diet with omega-3 rich foods; manage stress through yoga.,Yoga for Stress Relief,2
Mental Health Disorders,Lifelong,"Balanced, Low-sugar diet",Sedentary lifestyle,"Meditation, Herbal Remedies","Ashwagandha, Brahmi, Jatamansi","Vata, Pitta",Practice mindfulness and meditation; eat foods that support mental health such as leafy greens.,Yoga for Mental Health,1
Mental Stress,Short to Long-Term,"Balanced, Anti-stress foods","High-stress work, Office work","Meditation, Herbal Remedies","Ashwagandha, Brahmi, Lavender","Vata, Pitta",Practice deep breathing exercises; avoid caffeine and processed foods.,Yoga for Stress Relief,1
Metabolic Syndrome,Lifelong,"Low-carb, High-protein",Sedentary lifestyle,"Herbal Remedies, Diet","Fenugreek, Amla, Turmeric","Kapha, Pitta","Follow a low-carb, high-fiber diet; engage in regular physical activity.",Yoga for Metabolic Health,1
Miller-Dieker Syndrome,Lifelong,"Nutrient-rich, Balanced diet",Requires caregiver support,None specific,None specific,"Vata, Pitta","Focus on mental health; maintain a balanced, nutrient-rich diet.",None specific,1
Mitochondrial Myopathy,Lifelong,"High-protein, Low-fat diet",Limited physical activity,None specific,None specific,"Vata, Pitta",Consume antioxidant-rich foods; avoid environmental toxins.,Physical Therapy for Mobility,1
Monkeypox,2-4 weeks,"Balanced, Hydrating foods","Agricultural work, Rural",None specific,None specific,"Vata, Kapha",Isolate and rest; consume immune-boosting foods like citrus fruits and ginger.,None specific,1
Mowat-Wilson Syndrome,Lifelong,"Nutrient-rich, Balanced diet",Requires caregiver support,None specific,None specific,"Vata, Pitta","Ensure proper neurological care; provide a balanced, nutrient-dense diet.",None specific,1
Mucolipidosis,Lifelong,"High-protein, Low-fat diet",Requires caregiver support,None specific,None specific,"Vata, Kapha",Maintain a low-fat diet; focus on digestive health with fiber-rich foods.,None specific,1
Mucopolysaccharidosis,Lifelong,"High-protein, Low-fat diet",Requires caregiver support,None specific,None specific,"Vata, Pitta",Focus on joint health and mobility; consume anti-inflammatory foods like turmeric and ginger.,None specific,1
Multiple Sclerosis,Lifelong,"Low-fat, High-fiber diet",Sedentary lifestyle,None specific,"Ashwagandha, Brahmi","Vata, Pitta",Engage in gentle exercise; consume omega-3 fatty acids and antioxidants.,Physical Therapy for Mobility,2
Multiple Sulfatase Deficiency,Lifelong,"High-protein, Nutrient-rich diet",Requires caregiver support,None specific,None specific,"Vata, Pitta",Focus on cognitive and developmental support; provide a balanced diet.,None specific,1
Muscular Dystrophy,Lifelong,"Balanced, High-protein diet",Limited physical activity,None specific,None specific,Vata,Maintain proper muscle care; engage in regular physical therapy.,Physical Therapy for Mobility,1
Myasthenia Gravis,Lifelong,"Low-sodium, Balanced diet",Sedentary lifestyle,None specific,"Ashwagandha, Guduchi","Vata, Pitta",Avoid heavy physical exertion; maintain a nutrient-dense diet.,Physical Therapy for Muscle Strength,1
Mycetoma,6-12 months,"High-protein, Hydrating diet",Exposure to wet environments,None specific,None specific,Kapha,Maintain cleanliness of affected area; consume immune-boosting foods.,None specific,1
Myotonia Congenita,Lifelong,"High-protein, Balanced diet",Limited physical activity,None specific,None specific,"Vata, Pitta",Practice relaxation techniques; focus on reducing muscle stiffness with stretching.,Physical Therapy for Mobility,1
Naegleria Infection,1-2 weeks,"Hydrating, Low-sugar diet",Exposure to warm water,None specific,None specific,Pitta,Avoid exposure to contaminated water; consume plenty of fluids.,None specific,1
Nephrotic Syndrome,Lifelong,"Low-salt, High-protein diet",Sedentary lifestyle,None specific,None specific,"Vata, Pitta",Avoid salty foods; maintain hydration and a kidney-friendly diet.,None specific,1
Neurofibromatosis,Lifelong,"Balanced, Nutrient-rich diet",Requires regular check-ups,None specific,None specific,"Vata, Pitta",Focus on cognitive health; engage in moderate exercise and a healthy diet.,None specific,1
Neurotoxocariasis,1-3 months,"Hydrating, Balanced diet",Exposure to contaminated soil,None specific,None specific,Kapha,Practice good hygiene; consume immune-boosting foods like garlic and ginger.,None specific,1
Niemann-Pick Disease,Lifelong,"Low-fat, Nutrient-rich diet",Requires caregiver support,None specific,None specific,"Vata, Pitta",Focus on liver health; provide easily digestible and nutrient-dense foods.,None specific,1
Nipah Virus Infection,1-3 weeks,"Hydrating, High-protein diet",Exposure to animals,None specific,None specific,Pitta,Maintain hydration; consume immune-boosting foods like garlic and ginger.,None specific,1
Noonan Syndrome,Lifelong,"High-protein, Balanced diet",Requires regular check-ups,None specific,None specific,"Vata, Pitta",Provide a balanced diet for growth and development; encourage regular exercise.,None specific,1
Onchocerciasis (River Blindness),6-12 months,"High-protein, Hydrating diet",Exposure to rivers,None specific,None specific,Kapha,Use insect repellents; maintain eye health and hygiene.,None specific,1
Opistorchiasis,1-3 months,"Balanced, Nutrient-rich diet",Exposure to contaminated food,None specific,None specific,"Pitta, Kapha",Maintain liver health; focus on gut health with a fiber-rich diet.,None specific,1
Osteoarthritis,Lifelong,"Balanced, Anti-inflammatory diet",Sedentary lifestyle,"Herbal Remedies, Lifestyle Changes","Turmeric, Ashwagandha","Vata, Kapha",Avoid cold foods; engage in regular joint-friendly exercises.,Yoga for Joint Mobility,1
Osteogenesis Imperfecta,Lifelong,"High-calcium, Nutrient-rich diet",Limited physical activity,None specific,None specific,"Vata, Pitta",Ensure calcium and vitamin D intake; maintain bone strength through gentle exercises.,Physical Therapy for Strengthening,1
Osteopetrosis,Lifelong,"High-calcium, Nutrient-rich diet",Limited physical activity,None specific,None specific,"Vata, Kapha","Focus on bone health; ensure nutrient-rich diet, including calcium and vitamin D.",None specific,1
Osteoporosis,Lifelong,"High-calcium, Vitamin D diet",Sedentary lifestyle,"Calcium, Vitamin D, Herbal Remedies","Ashwagandha, Guggul, Shatavari",Vata,Ensure calcium-rich diet; engage in weight-bearing exercises for bone strength.,Yoga for Bone Strength,2
Ovarian Cancer,Lifelong,"Low-fat, High-protein diet",Sedentary lifestyle,None specific,None specific,Pitta,Follow a diet rich in antioxidants; focus on a healthy weight and stress management.,None specific,1
Pancreatic Cancer,Lifelong,"Low-fat, High-protein diet",Sedentary lifestyle,None specific,None specific,"Vata, Pitta",Avoid processed foods; consume a fiber-rich diet and limit alcohol intake.,None specific,1
Pancreatitis,1-3 months,"Low-fat, High-fiber diet",Sedentary lifestyle,None specific,None specific,Pitta,Avoid fatty and fried foods; maintain hydration with herbal teas.,None specific,2
Paracoccidioidomycosis,6-12 months,"High-protein, Antifungal diet",Exposure to soil,None specific,None specific,Pitta,Focus on immunity-boosting foods and maintaining hydration.,None specific,1
Paragonimiasis,6-12 months,"Balanced, Antifungal diet",Exposure to undercooked food,None specific,None specific,"Pitta, Kapha","Focus on lung health; avoid cold foods and include warm, easy-to-digest meals.",None specific,1
Parkinson's Disease,Lifelong,"High-antioxidant, Nutrient-rich diet",Sedentary lifestyle,"Herbal Remedies, Lifestyle Changes","Ashwagandha, Brahmi","Vata, Pitta",Ensure adequate physical therapy; maintain a nutrient-rich diet to support nervous system health.,Yoga for Mobility and Balance,2
Pelvic Floor Disorders,Lifelong,"High-fiber, Hydrating diet",Sedentary lifestyle,"Kegel Exercises, Lifestyle Changes","Ashwagandha, Shatavari","Vata, Kapha",Practice pelvic floor exercises; focus on hydration and fiber-rich foods.,Yoga for Pelvic Strength,1
Peptic Ulcers,1-2 months,"Low-fat, High-fiber diet",High-stress occupation,"Herbal Remedies, Diet Changes","Licorice, Ginger",Pitta,Avoid spicy foods; consume cooling foods like cucumbers and coconut water.,Yoga for Stress Relief,2
Peripheral Artery Disease,Lifelong,"Low-fat, High-fiber diet",Sedentary lifestyle,"Herbal Remedies, Lifestyle Changes",None specific,"Vata, Pitta",Engage in regular physical activity; consume foods that support circulation like garlic.,Physical Therapy for Circulation,1
Peutz-Jeghers Syndrome,Lifelong,"Balanced, High-protein diet",Requires regular check-ups,None specific,None specific,"Vata, Pitta",Focus on gastrointestinal health; consume fiber-rich foods and antioxidants.,None specific,1
Pfeiffer Syndrome,Lifelong,"High-protein, Nutrient-rich diet",Requires special care,None specific,None specific,"Vata, Pitta",Provide developmental support; ensure a balanced diet with essential nutrients.,None specific,1
Phenylketonuria (PKU),Lifelong,Phenylalanine-restricted diet,Needs specialized care,"Diet Changes, Herbal Remedies",None specific,"Vata, Pitta",Follow a strict low-phenylalanine diet; support cognitive development with nutrition.,None specific,1
Pinta,6-12 months,"High-fiber, Hydrating diet",Exposure to poor sanitation,None specific,None specific,Pitta,Focus on maintaining skin hygiene and avoiding irritants.,None specific,1
Pitt-Hopkins Syndrome,Lifelong,"High-protein, Nutrient-rich diet",Requires special care,None specific,None specific,"Vata, Pitta",Provide speech and developmental therapy; ensure a nutrient-dense diet for growth.,None specific,1
Pituitary Tumors,Lifelong,"Low-fat, Balanced diet",Requires regular monitoring,None specific,None specific,"Vata, Pitta",Maintain a balanced diet; practice stress reduction techniques such as yoga.,None specific,1
Pneumoconiosis,Lifelong,"High-fiber, Antioxidant diet",Occupational exposure,None specific,None specific,"Vata, Kapha",Avoid exposure to harmful dust; focus on lung health with antioxidants.,None specific,1
Pneumocystis Pneumonia,1-2 months,"High-protein, Nutrient-rich diet",Immunocompromised lifestyle,None specific,None specific,Pitta,Maintain good hygiene; avoid cold or damp environments.,None specific,2
Pneumonia,1-2 months,"High-protein, Hydrating diet",Sedentary lifestyle,"Herbal Remedies, Lifestyle Changes",None specific,"Vata, Pitta",Stay hydrated; focus on immune-boosting foods like garlic and ginger.,None specific,2
Pneumonic Plague,2-4 weeks,"High-protein, Nutrient-rich diet",Exposure to rodents,None specific,None specific,Pitta,Avoid contact with infected individuals; maintain hygiene and boost immunity.,None specific,1
Polio,Lifelong,"Balanced, High-protein diet",Exposure to unvaccinated populations,None specific,None specific,"Vata, Pitta",Support physical therapy; ensure a protein-rich diet for muscle recovery.,None specific,1
Polycystic Kidney Disease,Lifelong,"Low-salt, Low-protein diet",Requires regular monitoring,None specific,None specific,"Vata, Pitta",Focus on kidney health; avoid salty foods and maintain hydration.,None specific,1
Polycystic Ovary Syndrome (PCOS),Lifelong,"Low-carb, Nutrient-rich diet",Stress management required,"Herbal Remedies, Diet Changes","Ashwagandha, Shatavari","Vata, Pitta",Follow a balanced diet with low glycemic index foods; include regular exercise.,Yoga for Hormonal Balance,1
Porphyria,Lifelong,"Low-fat, High-protein diet",Avoids sunlight,"Herbal Remedies, Diet Changes",None specific,"Vata, Pitta",Avoid sunlight exposure; support liver and detox with herbal remedies.,None specific,1
Prader-Willi Syndrome,Lifelong,"Balanced, High-protein diet",Requires special care,None specific,None specific,"Vata, Pitta",Focus on managing appetite; support development with balanced nutrition.,None specific,1
Primary Amebic Meningoencephalitis,1-2 weeks,"Hydrating, Low-fat diet",Avoids contaminated water,None specific,None specific,Pitta,Avoid exposure to contaminated water; maintain good hygiene.,None specific,1
Primary Ciliary Dyskinesia,Lifelong,"High-protein, Antioxidant diet",Avoids cold air,None specific,None specific,"Vata, Kapha",Support lung health; avoid cold air and focus on respiratory health with herbal teas.,Breathing Exercises,1
Prostate Cancer,Lifelong,"Low-fat, High-fiber diet",Requires regular monitoring,None specific,None specific,"Vata, Pitta",Include prostate-healthy foods like tomatoes and flaxseeds; reduce stress.,None specific,2
Psoriasis,Lifelong,"Low-carb, Anti-inflammatory diet",Exposure to stress triggers,"Herbal Remedies, Diet Changes","Neem, Turmeric, Aloe Vera",Pitta,Focus on anti-inflammatory foods; maintain a skin-care routine with natural products.,Yoga for Stress Relief,2
Pulmonary Hypertension,Lifelong,"Low-salt, High-fiber diet",Requires oxygen support,None specific,None specific,"Vata, Pitta",Focus on lung and heart health; avoid salty foods and manage stress levels.,Breathing Exercises,1
Q Fever,1-2 months,"Hydrating, High-protein diet",Exposure to animals,None specific,None specific,Pitta,"Rest in a cool, comfortable environment; drink plenty of fluids to stay hydrated.",None specific,1
Rabies,1-2 weeks,"Low-fat, High-protein diet",Exposure to animals,None specific,None specific,"Vata, Pitta",Seek medical attention immediately; support immune health with garlic and turmeric.,None specific,1
Relapsing Fever,1-2 weeks,"Hydrating, Low-sugar diet",Avoids outdoor exposure,None specific,None specific,Pitta,Focus on hydration and rest; avoid contact with infected individuals.,None specific,1
Renal Hypertension,Lifelong,"Low-sodium, High-fiber diet",Requires monitoring,None specific,None specific,"Vata, Pitta",Maintain kidney health; avoid salty and high-fat foods; hydrate well.,None specific,1
Respiratory Issues,1-6 months,"Low-carb, High-protein diet",Avoids polluted air,"Herbal Remedies, Lifestyle Changes",None specific,"Vata, Kapha",Focus on lung health; practice deep breathing exercises and avoid pollutants.,Breathing Exercises,1
Rett Syndrome,Lifelong,"Balanced, High-nutrient diet",Requires special care,None specific,None specific,"Vata, Pitta",Support cognitive and motor development; ensure a balanced diet.,None specific,1
Rheumatic Heart Disease,Lifelong,"Low-fat, High-fiber diet",Regular medical check-ups,None specific,None specific,"Vata, Kapha",Focus on heart health; avoid salty and fatty foods; manage stress.,None specific,1
Rheumatoid Arthritis,Lifelong,"Anti-inflammatory, Gluten-free diet",Requires physiotherapy,"Herbal Remedies, Diet Changes","Ashwagandha, Guggul","Vata, Kapha",Consume anti-inflammatory foods; practice light exercises and stretches.,Yoga for Joint Health,2
Rickettsial Diseases,1-2 weeks,"Hydrating, Low-sugar diet",Avoids outdoor exposure,None specific,None specific,Pitta,Focus on immune health; avoid exposure to ticks; stay hydrated.,None specific,1
Rift Valley Fever,1-2 months,"Low-fat, High-protein diet",Avoids mosquito exposure,None specific,None specific,"Vata, Pitta","Rest in a cool, quiet environment; avoid stress and maintain hydration.",None specific,1
Rocky Mountain Spotted Fever,1-2 weeks,"Hydrating, Low-sugar diet",Avoids tick-infested areas,None specific,None specific,Pitta,Avoid exposure to ticks; use natural repellents; hydrate well.,None specific,1
Rosacea,Lifelong,"Low-fat, High-protein diet",Avoids hot drinks,"Herbal Remedies, Diet Changes","Aloe Vera, Turmeric",Pitta,Maintain a gentle skincare routine; avoid spicy and hot foods.,None specific,1
Schistosomiasis,1-2 months,"Hydrating, Low-sugar diet",Avoids contaminated water,"Wormwood, Ginger","Neem, Turmeric",Pitta,Focus on detoxification; avoid contaminated water sources.,0,1
Scoliosis,Variable,"Balanced, High-nutrient diet",Requires back support,0,"Ashwagandha, Guggul","Vata, Pitta",Maintain good posture; include strengthening exercises and a balanced diet.,Yoga for spine flexibility,1
Seborrheic Dermatitis,Ongoing management,"Low-fat, High-protein diet",Avoids greasy foods,"Tea tree oil, Aloe vera","Neem, Turmeric",Pitta,Follow a gentle skincare routine; avoid spicy and oily foods.,"Pranayama, Scalp massage",1
Septicemic Plague,Immediate treatment (weeks),"Hydrating, Low-sugar diet",Avoids rodent exposure,0,0,Pitta,Avoid contact with infected individuals; focus on immune-boosting foods.,0,1
Sexual Dysfunction,Ongoing management,"Low-fat, High-protein diet",Requires counseling,"Maca root, Ginseng","Ashwagandha, Shatavari","Vata, Kapha",Focus on stress reduction; maintain a healthy diet rich in antioxidants.,0,1
Sickle Cell Anemia,Lifetime management,"High-calorie, Iron-rich diet",Requires hydration,0,"Ashwagandha, Gudmar","Vata, Pitta",Maintain hydration; include iron-rich foods like spinach and lentils.,0,2
Sjogren's Syndrome,Ongoing management,"Hydrating, Low-sodium diet",Requires special care,0,"Ashwagandha, Guggul","Vata, Pitta",Stay hydrated; avoid dry and cold environments; include anti-inflammatory foods.,0,1
Skin Cancer (Melanoma),"Surgical removal, Radiation","Low-fat, High-protein diet",Avoids excessive sun,"Aloe vera, Turmeric","Neem, Turmeric",Pitta,Protect skin from sun exposure; focus on antioxidant-rich foods like berries.,0,2
Skin Diseases,Varies based on type,"Balanced, High-nutrient diet",Requires hygiene practices,"Aloe vera, Tea tree oil","Neem, Turmeric",Pitta,Follow a gentle skincare routine; avoid harsh chemicals and spicy foods.,"Pranayama, Hydration",1
"Skin Infections (Bacterial, Fungal, Viral)",1-2 weeks (depends on type),"Balanced, High-nutrient diet",Requires hygiene practices,"Garlic, Tea tree oil","Neem, Turmeric",Pitta,Focus on hygiene; avoid sharing personal items; maintain a healthy diet.,0,1
Skin Rash,"Varies, from days to weeks","Low-fat, High-protein diet",Requires skin care,"Aloe vera, Chamomile","Aloe vera, Ashwagandha",Pitta,Avoid allergens; keep skin moisturized; include fiber-rich foods in the diet.,"Pranayama, Hydration",1
Sleep Apnea,Ongoing management,"Low-fat, High-protein diet",Requires regular sleep schedule,0,"Ashwagandha, Brahmi","Vata, Kapha",Maintain a regular sleep schedule; practice deep breathing exercises.,"Breathing exercises, Pranayama",2
Sleeping Sickness (Trypanosomiasis),2-3 weeks,"Hydrating, Low-sugar diet",Avoids insect exposure,0,0,Pitta,Avoid mosquito bites; focus on immune-boosting foods.,0,1
Sparganosis,3-6 months,"Low-fat, High-protein diet",Avoids undercooked food,0,0,"Vata, Kapha",Ensure good hygiene; avoid undercooked food; stay hydrated.,0,1
Stroke,Immediate treatment (acute phase),"Low-sodium, High-fiber diet",Requires rehabilitation,0,"Brahmi, Ashwagandha","Vata, Pitta",Monitor blood pressure; focus on a balanced diet and regular exercise.,"Physical therapy, Speech therapy",2
Strongyloidiasis,1-2 weeks,"Hydrating, Low-sugar diet",Avoids contaminated water,0,0,"Vata, Pitta",Avoid contaminated water; increase fiber intake to support digestion.,0,1
Talaromycosis,2-4 weeks,"Balanced, High-nutrient diet",Avoids fungal exposure,0,0,"Vata, Kapha","Focus on immunity; avoid damp, moldy environments.",0,1
Tay-Sachs Disease,Lifelong care,"Low-fat, High-protein diet",Requires special care,0,0,"Vata, Pitta","Support cognitive and motor function; provide a balanced, nutritious diet.",0,1
Tendinitis,1-6 weeks,"Low-fat, High-protein diet",Requires physical therapy,"Herbal Remedies, Ice, Massage",None specific,"Vata, Pitta",Focus on joint health; include anti-inflammatory foods like fish and turmeric.,"Stretching, Strengthening Exercises",1
Tetanus,1-2 weeks,"Balanced, High-protein diet",Requires wound care,None specific,None specific,"Vata, Kapha",Maintain a clean environment; avoid injuries; focus on immune health.,None specific,1
Thalassemia,Lifelong,"Low iron, High-protein diet",Requires blood transfusions,None specific,None specific,"Vata, Pitta","Maintain iron levels; focus on a nutrient-rich diet, including leafy greens.",None specific,1
Toxocariasis,1-6 months,"Balanced, High-fiber diet",Avoids contact with pets,None specific,None specific,Pitta,Avoid exposure to contaminated soil; focus on digestive health.,None specific,1
Toxoplasmosis,1-2 months,"Low-fat, High-protein diet",Avoids undercooked meat,None specific,None specific,"Vata, Pitta",Focus on immune-boosting foods; avoid raw meats and contaminated water.,None specific,1
Trachoma,1-2 weeks,"Balanced, High-fiber diet",Requires hygiene practices,None specific,None specific,Pitta,Practice eye hygiene; avoid sharing towels; use protective eyewear.,None specific,1
Trichinellosis,2-4 weeks,"Low-fat, High-protein diet",Avoids undercooked meat,None specific,None specific,"Vata, Kapha",Avoid undercooked pork; maintain good digestive health.,None specific,1
Trichuriasis,1-2 weeks,"Hydrating, Low-sugar diet",Avoids contaminated water,None specific,None specific,"Vata, Pitta",Avoid contaminated water and food; support digestive health with fiber.,None specific,1
Tuberculosis,6-12 months,"Low-fat, High-protein diet",Requires medication regimen,None specific,None specific,Pitta,Follow a TB treatment plan; avoid smoking and focus on lung health.,Breathing Exercises,3
