name,latin_name,hindi_name,preview,rasa,guna,virya,vipaka,prabhava,pacify_dosha,aggravate_dosha,tridosha,category,therapeutic_uses,contraindications,source_url,pacify_vata,pacify_pitta,pacify_kapha,aggravate_vata,aggravate_pitta,aggravate_kapha
Aparajita,,,"Used for skin diseases, swelling, and mental rejuvenation.",Tikta,Laghu,Sheeta,Katu,"Medhya, Kushtaghna","Pitta, Kapha",Vata,False,"Dermatological, Neurological","Dermatological; Neurological; Used for skin diseases, swelling, and mental rejuvenation.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/aparajita.html,0,1,1,1,0,0
Meshashringi,,,Known for regulating blood sugar and metabolism.,"Tikta, Katu",Laghu,Sheeta,Katu,"Pramehaghna, Medohara","Kapha, Pitta",Vata,False,Metabolic,Known for regulating blood sugar and metabolism.; Metabolic,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/meshashringi.html,0,1,1,1,0,0
Ikshu,,,"Sugarcane improves energy, acts as diuretic and cooling.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Trishnahara, Mutrala","Pitta, Vata",Kapha,False,Urinary,"Sugarcane improves energy, acts as diuretic and cooling.; Urinary","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/ikshu.html,1,1,0,0,0,1
Amrita,,,"Divine herb for immunity, detox and chronic fevers.","Tikta, Kashaya",Laghu,Ushna,Madhura,"rasayana, Jwaraghna",tridosha,,True,"Anti-pyretic, Rejuvenation","Anti-pyretic; Divine herb for immunity, detox and chronic fevers.; Rejuvenation","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/amrita.html,1,1,1,0,0,0
Shigru Patra,,,"Drumstick leaves improve nutrition, blood, and joint health.","Katu, Tikta",Laghu,Ushna,Katu,"Balya, Amapachana","Vata, Kapha",Pitta,False,Strengthening,"Drumstick leaves improve nutrition, blood, and joint health.; Strengthening","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/shigru-patra.html,1,0,1,0,1,0
Haridra,Curcuma longa,हल्दी,Turmeric is powerful anti-inflammatory and detoxifying herb.,"Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Kushtaghna, Raktashodhak","Kapha, Pitta",Vata,False,"Blood Purification, Dermatological",Blood Purification; Dermatological; Turmeric is powerful anti-inflammatory and detoxifying herb.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/haridra.html,0,1,1,1,0,0
Mandukparni,,,"Supports memory, intellect and improves mental function.",Tikta,Laghu,Sheeta,Madhura,"Medhya, rasayana","Vata, Pitta",Kapha,False,"Neurological, Rejuvenation","Neurological; Rejuvenation; Supports memory, intellect and improves mental function.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/mandukparni.html,1,1,0,0,0,1
Vatsanabha,,,"Processed aconite, used in fevers, pain and digestion.","Tikta, Katu","Tikshna, Laghu",Ushna,Katu,"Vedanasthapana, Jwaraghna",Vata,"Pitta, Kapha",False,"Analgesic, Anti-pyretic","Analgesic; Anti-pyretic; Processed aconite, used in fevers, pain and digestion.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/vatsanabha.html,1,0,0,0,1,1
Ushira,,,"Vetiver root is cooling, soothing and diuretic.","Tikta, Madhura","Laghu, Snigdha",Sheeta,Madhura,"Trishnahara, Dahashamana","Pitta, Vata",Kapha,False,General Wellness,"Vetiver root is cooling, soothing and diuretic.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/ushira.html,1,1,0,0,0,1
Kiratatikta,,,"Bitter tonic used for fever, appetite, and digestion.",Tikta,"Laghu, Ruksha",Sheeta,Katu,"Jwaraghna, Agnideepana","Pitta, Kapha",Vata,False,Anti-pyretic,"Anti-pyretic; Bitter tonic used for fever, appetite, and digestion.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/kiratatikta.html,0,1,1,1,0,0
Shilajit,,,Famous rejuvenator and energy booster for all ages.,"Katu, Tikta",Laghu,Ushna,Katu,"rasayana, Balya","Kapha, Vata",Pitta,False,"Rejuvenation, Strengthening",Famous rejuvenator and energy booster for all ages.; Rejuvenation; Strengthening,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/shilajit.html,1,0,1,0,1,0
Kachnar,,,Reduces glandular swelling and improves thyroid function.,Kashaya,"Laghu, Ruksha",Sheeta,Katu,"Galaganda, Shothahara","Kapha, Pitta",Vata,False,Anti-inflammatory,Anti-inflammatory; Reduces glandular swelling and improves thyroid function.,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/kachnar.html,0,1,1,1,0,0
Kusha,,,Sacred grass used for purification and urinary issues.,Tikta,Laghu,Sheeta,Katu,"Mutrala, tridoshahara",Pitta,"Kapha, Vata",False,Urinary,Sacred grass used for purification and urinary issues.; Urinary,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/kusha.html,0,1,0,1,0,1
Bimbi,,,"Used in diabetes, obesity, and blood sugar regulation.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Pramehaghna, Medohara","Kapha, Pitta",Vata,False,Metabolic,"Metabolic; Used in diabetes, obesity, and blood sugar regulation.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/bimbi.html,0,1,1,1,0,0
Kumud,,,"Lotus flower, calming for heart and mind.","Madhura, Tikta",Laghu,Sheeta,Madhura,"Hridya, Raktaprasadana","Pitta, Vata",Kapha,False,General Wellness,"Lotus flower, calming for heart and mind.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/kumud.html,1,1,0,0,0,1
Bala Mool,,,Root used for strengthening nerves and muscles.,Madhura,"Snigdha, Guru",Sheeta,Madhura,"Balya, Brimhaniya",Vata,Kapha,False,"Nutritive, Strengthening",Nutritive; Root used for strengthening nerves and muscles.; Strengthening,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/bala-mool.html,1,0,0,0,0,1
Ananta Mool,,,"Blood purifier, detoxifier and cooling herb.","Tikta, Madhura",Laghu,Sheeta,Madhura,"Raktaprasadana, rasayana","Pitta, Vata",Kapha,False,Rejuvenation,"Blood purifier, detoxifier and cooling herb.; Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/ananta-mool.html,1,1,0,0,0,1
Talisa,,,Bronchodilator and decongestant for respiratory health.,Tikta,"Laghu, Tikshna",Ushna,Katu,"Shwasahara, Kasahara","Kapha, Vata",Pitta,False,Respiratory,Bronchodilator and decongestant for respiratory health.; Respiratory,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/talisa.html,1,0,1,0,1,0
Nirgundi,,,"Reduces pain, swelling, and Vata-related disorders.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Shothahara, Vedanasthapana","Vata, Kapha",Pitta,False,"Analgesic, Anti-inflammatory","Analgesic; Anti-inflammatory; Reduces pain, swelling, and Vata-related disorders.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/nirgundi.html,1,0,1,0,1,0
Shuddha Guggulu,,,Potent anti-inflammatory used in arthritis and obesity.,"Tikta, Katu","Laghu, Tikshna",Ushna,Katu,"Medohara, Shothahara","Kapha, Vata",Pitta,False,"Anti-inflammatory, Metabolic",Anti-inflammatory; Metabolic; Potent anti-inflammatory used in arthritis and obesity.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/shuddha-guggulu.html,1,0,1,0,1,0
Gokarna,,,"Clitoria ternatea, known for enhancing memory and calmness.",Tikta,Laghu,Sheeta,Madhura,"Medhya, Nootropic","Vata, Pitta",Kapha,False,Neurological,"Clitoria ternatea, known for enhancing memory and calmness.; Neurological","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/gokarna.html,1,1,0,0,0,1
Tagetes,,,"Marigold used in skin, fever, and pitta disorders.","Tikta, Kashaya",Laghu,Sheeta,Katu,"Raktashodhana, Kushtaghna",Pitta,Vata,False,Dermatological,"Dermatological; Marigold used in skin, fever, and pitta disorders.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/tagetes.html,0,1,0,1,0,0
Kachura,,,Aromatic rhizome for respiratory and digestive issues.,"Tikta, Katu",Laghu,Ushna,Katu,"Shwasahara, Vatahara","Kapha, Vata",Pitta,False,Respiratory,Aromatic rhizome for respiratory and digestive issues.; Respiratory,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/kachura.html,1,0,1,0,1,0
Shati,,,Enhances respiratory strength and prevents infections.,"Katu, Tikta",Laghu,Ushna,Katu,"Shwasahara, Amapachana","Kapha, Vata",Pitta,False,Respiratory,Enhances respiratory strength and prevents infections.; Respiratory,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/shati.html,1,0,1,0,1,0
Bhanga,,,"Cannabis leaf used in pain, digestion, and sleep disorders.",Tikta,Laghu,Ushna,Katu,"Vedanasthapana, Madakari",Vata,"Pitta, Kapha",False,Analgesic,"Analgesic; Cannabis leaf used in pain, digestion, and sleep disorders.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/bhanga.html,1,0,0,0,1,1
Mochras,,,Cooling resin used in bleeding and Pitta disorders.,Kashaya,Guru,Sheeta,Katu,"Stambhana, Raktaprasadana",Pitta,Kapha,False,Gynaecological,Cooling resin used in bleeding and Pitta disorders.; Gynaecological,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/mochras.html,0,1,0,0,0,1
Jivanti,,,Nourishing herb for lactation and immunity.,Madhura,Snigdha,Sheeta,Madhura,"rasayana, Stanyajanana","Vata, Pitta",Kapha,False,"Rejuvenation, Reproductive",Nourishing herb for lactation and immunity.; Rejuvenation; Reproductive,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/jivanti.html,1,1,0,0,0,1
Swarnamakshika,,,"Mineral used in anemia, skin and liver disorders.","Tikta, Kashaya",Laghu,Ushna,Katu,"Pittahara, Raktavardhaka","Pitta, Kapha",Vata,False,General Wellness,"Mineral used in anemia, skin and liver disorders.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/swarnamakshika.html,0,1,1,1,0,0
Tamra Bhasma,,,"Copper ash for liver, spleen and obesity management.",Katu,Tikshna,Ushna,Katu,"Yakritottejaka, Medohara",Kapha,"Pitta, Vata",False,Metabolic,"Copper ash for liver, spleen and obesity management.; Metabolic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/tamra-bhasma.html,0,0,1,1,1,0
Makoy,,,Solanum nigrum for liver and spleen disorders.,Tikta,Laghu,Sheeta,Katu,"Yakritottejaka, Vrishya",Pitta,"Vata, Kapha",False,Reproductive,Reproductive; Solanum nigrum for liver and spleen disorders.,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/makoy.html,0,1,0,1,0,1
Kampillaka,,,Used for skin problems and worm infestations.,"Tikta, Kashaya",Laghu,Ushna,Katu,"Krimighna, Kushtaghna","Kapha, Pitta",Vata,False,"Anti-parasitic, Dermatological",Anti-parasitic; Dermatological; Used for skin problems and worm infestations.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/kampillaka.html,0,1,1,1,0,0
Bilwa Patra,,,Bael leaves for digestion and Vata disorders.,"Kashaya, Tikta",Laghu,Ushna,Katu,"Agnideepana, Shoolahara","Vata, Kapha",Pitta,False,Analgesic,Analgesic; Bael leaves for digestion and Vata disorders.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/bilwa-patra.html,1,0,1,0,1,0
Amlavetasa,,,"Used in dyspepsia, obesity and to stimulate digestion.","Amla, Katu","Laghu, Ruksha",Ushna,Katu,"Agnideepana, Lekhana",Kapha,Pitta,False,Metabolic,"Metabolic; Used in dyspepsia, obesity and to stimulate digestion.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/amlavetasa.html,0,0,1,0,1,0
Ardraka,,,"Fresh ginger root used for digestion, nausea and cold.",Katu,"Laghu, Snigdha",Ushna,Madhura,"Amapachana, Deepana","Vata, Kapha",Pitta,False,Digestive,"Digestive; Fresh ginger root used for digestion, nausea and cold.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/ardraka.html,1,0,1,0,1,0
Lasuna,,,"Garlic used for cardiac care, digestion, and immunity.",Katu,"Laghu, Tikshna",Ushna,Katu,"Hridya, Shothahara","Vata, Kapha",Pitta,False,Anti-inflammatory,"Anti-inflammatory; Garlic used for cardiac care, digestion, and immunity.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/lasuna.html,1,0,1,0,1,0
Parijata,,,"Night jasmine, good for cough, fever and arthritis.",Tikta,Laghu,Ushna,Katu,"Jwarahara, Vatahara","Vata, Pitta",Kapha,False,General Wellness,"Night jasmine, good for cough, fever and arthritis.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/parijata.html,1,1,0,0,0,1
Rajika,,,Mustard seeds help in digestion and pain relief.,Katu,"Laghu, Tikshna",Ushna,Katu,"Shothahara, Shoolahara",Kapha,"Pitta, Vata",False,"Analgesic, Anti-inflammatory",Analgesic; Anti-inflammatory; Mustard seeds help in digestion and pain relief.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/rajika.html,0,0,1,1,1,0
Rakta Chandana,,,"Red sandalwood for skin, bleeding disorders and cooling.","Tikta, Kashaya","Guru, Snigdha",Sheeta,Katu,"Raktaprasadana, Dahashamana",Pitta,Kapha,False,General Wellness,"Red sandalwood for skin, bleeding disorders and cooling.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/rakta-chandana.html,0,1,0,0,0,1
Rasona Patra,,,Garlic leaves used in cough and indigestion.,Katu,"Tikshna, Laghu",Ushna,Katu,"Amapachana, Kaphahara","Kapha, Vata",Pitta,False,General Wellness,Garlic leaves used in cough and indigestion.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/rasona-patra.html,1,0,1,0,1,0
Simhamoola,,,Used in Vata disorders and swelling.,"Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Vatanashaka, Shothahara",Vata,Pitta,False,Anti-inflammatory,Anti-inflammatory; Used in Vata disorders and swelling.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/simhamoola.html,1,0,0,0,1,0
Surana,,,"Elephant foot yam used for piles, swelling and digestion.","Katu, Tikta","Guru, Snigdha",Ushna,Katu,"Arshoghna, Agnideepana","Vata, Kapha",Pitta,False,General Wellness,"Elephant foot yam used for piles, swelling and digestion.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/surana.html,1,0,1,0,1,0
Vasa,,,"Adhatoda vasica for cough, bleeding and Pitta conditions.","Tikta, Kashaya",Laghu,Sheeta,Katu,"Kaphahara, Raktaprasadana",Pitta,Vata,False,General Wellness,"Adhatoda vasica for cough, bleeding and Pitta conditions.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/vasa.html,0,1,0,1,0,0
Zingiber,,,Dry ginger promotes digestion and balances Vata-Kapha.,Katu,"Laghu, Tikshna",Ushna,Madhura,"Amapachana, Deepana","Vata, Kapha",Pitta,False,Digestive,Digestive; Dry ginger promotes digestion and balances Vata-Kapha.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/zingiber.html,1,0,1,0,1,0
Lajjalu,,,Touch-me-not plant for bleeding piles and wounds.,Tikta,Laghu,Sheeta,Katu,"Stambhana, Vranaropana",Pitta,"Vata, Kapha",False,Gynaecological,Gynaecological; Touch-me-not plant for bleeding piles and wounds.,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/lajjalu.html,0,1,0,1,0,1
Manjistha,,,Powerful blood purifier for skin and liver.,"Tikta, Kashaya",Laghu,Sheeta,Madhura,"Raktashodhana, Kushtaghna","Pitta, Kapha",Vata,False,Dermatological,Dermatological; Powerful blood purifier for skin and liver.,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/manjistha.html,0,1,1,1,0,0
Agnikarna,,,Traditionally used in Ayurvedic minor surgical procedures and pain relief.,Tikta,"Laghu, Tikshna",Ushna,Katu,"Vedanasthapana, Shothahara",Vata,Pitta,False,"Analgesic, Anti-inflammatory",Analgesic; Anti-inflammatory; Traditionally used in Ayurvedic minor surgical procedures and pain relief.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/agnikarna.html,1,0,0,0,1,0
Atibala,,,"Used in urinary and nervous disorders, strengthens the body.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Balya, Vatahara",Vata,Kapha,False,Strengthening,"Strengthening; Used in urinary and nervous disorders, strengthens the body.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/atibala.html,1,0,0,0,0,1
Gandhaka,,,Purified sulfur for skin diseases and microbial conditions.,Katu,Tikshna,Ushna,Katu,"Kushtaghna, Krimighna","Vata, Kapha",Pitta,False,"Anti-parasitic, Dermatological",Anti-parasitic; Dermatological; Purified sulfur for skin diseases and microbial conditions.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/gandhaka.html,1,0,1,0,1,0
Karvellaka,,,Bitter gourd used in diabetes and liver disorders.,"Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Madhunashini, Yakritottejaka","Kapha, Pitta",Vata,False,General Wellness,Bitter gourd used in diabetes and liver disorders.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/karvellaka.html,0,1,1,1,0,0
Katuki,,,"Used in liver cleansing, detox, and skin conditions.",Tikta,Laghu,Sheeta,Katu,"Pittaghna, Yakritottejaka","Pitta, Kapha",Vata,False,Pitta Pacifying,"Pitta Pacifying; Used in liver cleansing, detox, and skin conditions.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/katuki.html,0,1,1,1,0,0
Madhuka,,,"Licorice used for cough, acidity, and skin glow.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Kantya, Vishaghna","Vata, Pitta",Kapha,False,Anti-toxic,"Anti-toxic; Licorice used for cough, acidity, and skin glow.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/madhuka.html,1,1,0,0,0,1
Haritaki,,,"A key component of Triphala, Haritaki is a powerful rejuvenator and detoxifier, especially for Vata dosha. It supports digestion and colon health.","Kashaya, Madhura, Amla, Katu, Tikta","Laghu, Ruksha",Ushna,Madhura,"rasayan, Virechana, Chakshushya, Deepana",tridosha,,True,"Digestive, Ophthalmological, Purgative, Rejuvenation","A key component of Triphala, Haritaki is a powerful rejuvenator and detoxifier, especially for Vata dosha. It supports digestion and colon health.; Digestive; Ophthalmological; Purgative; Rejuvenation","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/haritaki.html,1,1,1,0,0,0
Bibhitaki,,,"The second fruit of Triphala, Bibhitaki is excellent for balancing Kapha dosha. It supports the respiratory system and purifies the blood.",Kashaya,"Laghu, Ruksha",Ushna,Madhura,"Kasahara, Krimighna, Chakshushya","Kapha, Pitta",Vata,False,"Anti-parasitic, Ophthalmological, Respiratory","Anti-parasitic; Ophthalmological; Respiratory; The second fruit of Triphala, Bibhitaki is excellent for balancing Kapha dosha. It supports the respiratory system and purifies the blood.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/bibhitaki.html,0,1,1,1,0,0
Pippali,Piper longum,पिप्पली,Long pepper is a powerful stimulant for the digestive and respiratory systems. It is a key ingredient in the Trikatu formula.,Katu,"Laghu, Snigdha, Tikshna",Ushna,Madhura,"rasayan, Deepana, Kasahara, Vrishya","Vata, Kapha",Pitta,False,"Digestive, Rejuvenation, Reproductive, Respiratory",Digestive; Long pepper is a powerful stimulant for the digestive and respiratory systems. It is a key ingredient in the Trikatu formula.; Rejuvenation; Reproductive; Respiratory,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/pippali.html,1,0,1,0,1,0
Maricha,Piper nigrum,मरिच,"Black pepper enhances digestion, stimulates metabolism, and helps clear congestion. It is a part of the Trikatu formula.",Katu,"Laghu, Tikshna",Ushna,Katu,"Deepana, Krimighna, Shwasahara","Vata, Kapha",Pitta,False,"Anti-parasitic, Digestive, Respiratory","Anti-parasitic; Black pepper enhances digestion, stimulates metabolism, and helps clear congestion. It is a part of the Trikatu formula.; Digestive; Respiratory","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/maricha.html,1,0,1,0,1,0
