name,latin_name,hindi_name,preview,rasa,guna,virya,vipaka,prabhava,therapeutic_uses,category,contraindications,pacify_dosha,aggravate_dosha,tridosha,source_url
Jayapala,,,Croton tiglium is the most potent purgative in Ayurveda and must be used only after purification and in minute doses.,Katu,"Guru, Tikshna",Ushna,Katu,Virechana,Croton tiglium is the most potent purgative in Ayurveda and must be used only after purification and in minute doses.; Purgative,Purgative,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,/p/jayapala.html
Gunja,,,Abrus precatorius seeds are toxic but used after purification for skin diseases and as a nervine tonic.,"Tikta, Kashaya","Laghu, Ruksha",Ushna,Katu,"Keshya, Kushtaghna",Abrus precatorius seeds are toxic but used after purification for skin diseases and as a nervine tonic.; Dermatological,Dermatological,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/gunja.html
Karavira,,,Oleander is a toxic plant used externally after processing for skin diseases and wound healing.,"Katu, Tikta","Laghu, Tikshna",Ushna,Katu,"Kushtaghna, Vranashodhak",Dermatological; Oleander is a toxic plant used externally after processing for skin diseases and wound healing.; Wound Healing,"Dermatological, Wound Healing","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,/p/karavira.html
Kadamba,,,"Neolamarckia cadamba is a cooling herb used to pacify Pitta, manage fever, and treat ulcers.","Tikta, Kashaya",Ruksha,Sheeta,Katu,"Jwaraghna, Vranaropana","Anti-pyretic; Neolamarckia cadamba is a cooling herb used to pacify Pitta, manage fever, and treat ulcers.",Anti-pyretic,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/kadamba.html
Badara,,,"Jujube fruit (Ber) is nourishing and acts as a mild laxative, while its leaves are used for wound healing.","Madhura, Amla","Guru, Snigdha",Sheeta,Madhura,"Balya, Grahi","Digestive; Jujube fruit (Ber) is nourishing and acts as a mild laxative, while its leaves are used for wound healing.; Strengthening","Digestive, Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/badara.html
Kapittha,,,Wood Apple is used to treat chronic diarrhea and dysentery; the unripe fruit is a powerful astringent.,"Kashaya, Amla","Laghu, Ruksha",Sheeta,Katu,"Grahi, Deepana",Digestive; Wood Apple is used to treat chronic diarrhea and dysentery; the unripe fruit is a powerful astringent.,Digestive,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/kapittha.html
Kharjura,,,"Dates are highly nourishing, strength-promoting, and act as a natural aphrodisiac and tonic.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Balya, Vrishya, Brimhaniya","Dates are highly nourishing, strength-promoting, and act as a natural aphrodisiac and tonic.; Nutritive; Reproductive; Strengthening","Nutritive, Reproductive, Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/kharjura.html
Langali,,,"Gloriosa superba is a potent herb used for inducing labor and in treating skin diseases, but is toxic if not used correctly.","Katu, Tikta","Laghu, Tikshna",Ushna,Katu,"Kushtaghna, Garbhashaya Sankochaka","Dermatological; Gloriosa superba is a potent herb used for inducing labor and in treating skin diseases, but is toxic if not used correctly.",Dermatological,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,/p/langali.html
Javitri,,,"Mace is the outer covering of nutmeg, used as an aromatic stimulant to improve appetite and digestion.","Katu, Tikta",Laghu,Ushna,Katu,"Deepana, Varnya","Dermatological; Digestive; Mace is the outer covering of nutmeg, used as an aromatic stimulant to improve appetite and digestion.","Dermatological, Digestive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/javitri.html
Kankola,,,"Cubeb pepper is a diuretic and antiseptic, useful in urinary tract infections and respiratory congestion.","Katu, Tikta","Laghu, Tikshna",Ushna,Katu,"Mutrala, Deepana, Hridaya","Cardiac; Cubeb pepper is a diuretic and antiseptic, useful in urinary tract infections and respiratory congestion.; Digestive; Urinary","Cardiac, Digestive, Urinary","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,/p/kankola.html
Mudga,,,"Green Gram (Mung Bean) is considered the best among pulses. It is light, easy to digest, and balancing for all doshas.","Madhura, Kashaya","Laghu, Ruksha",Sheeta,Madhura,"Grahi, Chakshushya","Digestive; Green Gram (Mung Bean) is considered the best among pulses. It is light, easy to digest, and balancing for all doshas.; Ophthalmological","Digestive, Ophthalmological","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/mudga.html
Masura,,,"Lentil is astringent and light, useful in managing diarrhea and bleeding disorders.","Madhura, Kashaya","Laghu, Ruksha",Sheeta,Madhura,"Grahi, Balya","Digestive; Lentil is astringent and light, useful in managing diarrhea and bleeding disorders.; Strengthening","Digestive, Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/masura.html
Ishwari,,,"Aristolochia indica is a potent anti-venom and anti-inflammatory herb, used for snake bites and fevers.","Tikta, Katu","Laghu, Tikshna",Ushna,Katu,"Vishaghna, Jwaraghna","Anti-pyretic; Anti-toxic; Aristolochia indica is a potent anti-venom and anti-inflammatory herb, used for snake bites and fevers.","Anti-pyretic, Anti-toxic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,/p/ishwari.html
Bruhati,,,"Solanum indicum, part of Dashamoola, is effective in respiratory conditions and as a cardiotonic.","Katu, Tikta","Laghu, Ruksha",Ushna,Katu,"Hridaya, Shwasahara, Shothahara","Anti-inflammatory; Cardiac; Respiratory; Solanum indicum, part of Dashamoola, is effective in respiratory conditions and as a cardiotonic.","Anti-inflammatory, Cardiac, Respiratory","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/bruhati.html
Priyangu,,,"Callicarpa macrophylla is a cooling herb used for skin diseases, bleeding disorders, and headache.","Tikta, Kashaya","Laghu, Ruksha",Sheeta,Katu,"Dahashamana, Varnya","Callicarpa macrophylla is a cooling herb used for skin diseases, bleeding disorders, and headache.; Dermatological",Dermatological,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/priyangu.html
Souvarchala Lavana,,,"Black salt, known as Kala Namak, aids digestion, relieves gas, and stimulates appetite.",Lavana,"Laghu, Tikshna",Ushna,Katu,"Deepana, Pachana, Hridaya","Black salt, known as Kala Namak, aids digestion, relieves gas, and stimulates appetite.; Cardiac; Digestive","Cardiac, Digestive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,Pitta,False,/p/souvarchala-lavana.html
Saindhava Lavana,,,Rock salt is considered the best among all salts. It is cooling and aids digestion without aggravating Pitta.,Lavana,"Laghu, Snigdha",Sheeta,Madhura,"Chakshushya, Hridaya, Vrishya",Cardiac; Ophthalmological; Reproductive; Rock salt is considered the best among all salts. It is cooling and aids digestion without aggravating Pitta.,"Cardiac, Ophthalmological, Reproductive","Use with caution in Kapha aggravation, cold conditions, low digestive fire; Consult an Ayurvedic practitioner before use during pregnancy or lactation",tridosha,,True,/p/saindhava-lavana.html
Dhattura,,,"A toxic plant (Jimsonweed) used in purified form for asthma, pain, and skin diseases.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Kasahara, Shwasahara, Vedanasthapana","A toxic plant (Jimsonweed) used in purified form for asthma, pain, and skin diseases.; Analgesic; Respiratory","Analgesic, Respiratory","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,/p/dhattura.html
Ativisha,,,"Aconitum heterophyllum is a key herb for fever, diarrhea, and cough, especially in children.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Deepana, Pachana, Jwaraghna","Aconitum heterophyllum is a key herb for fever, diarrhea, and cough, especially in children.; Anti-pyretic; Digestive","Anti-pyretic, Digestive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/ativisha.html
Vamsha,,,"Bamboo manna (Vanshlochan) is used as a tonic for the respiratory system, especially in cough and cold.","Madhura, Kashaya","Laghu, Ruksha",Sheeta,Madhura,"Balya, Vrishya, Kasahara","Bamboo manna (Vanshlochan) is used as a tonic for the respiratory system, especially in cough and cold.; Reproductive; Respiratory; Strengthening","Reproductive, Respiratory, Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/vamsha.html
Tila Taila,,,"Sesame oil is the premier oil in Ayurveda for pacifying Vata, strengthening bones, and nourishing the skin.",Madhura,"Guru, Snigdha",Ushna,Madhura,"Balya, Vatahara, Keshya","Sesame oil is the premier oil in Ayurveda for pacifying Vata, strengthening bones, and nourishing the skin.; Strengthening",Strengthening,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,"Pitta, Kapha",False,/p/tila-taila.html
Eranda Taila,,,"Castor oil is a strong laxative and is excellent for Vata disorders, joint pain, and detoxification.","Madhura, Katu","Guru, Snigdha",Ushna,Madhura,"Virechana, Vatahara, Shoolaghna","Analgesic; Castor oil is a strong laxative and is excellent for Vata disorders, joint pain, and detoxification.; Purgative","Analgesic, Purgative","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/eranda-taila.html
Madhu,,,"Honey is used as a vehicle (anupana) for many medicines. It is scraping, healing, and pacifies Kapha.","Madhura, Kashaya","Laghu, Ruksha",Ushna,Katu,"Lekhana, Sandhanakaraka, Chakshushya","Honey is used as a vehicle (anupana) for many medicines. It is scraping, healing, and pacifies Kapha.; Metabolic; Ophthalmological","Metabolic, Ophthalmological","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Kapha,"Pitta, Vata",False,/p/madhu.html
Ghrita,,,"Ghee (clarified butter) is a premier rejuvenative, pacifying Vata and Pitta, enhancing memory and digestion.",Madhura,"Snigdha, Guru",Sheeta,Madhura,"rasayan, Medhya, Chakshushya","Ghee (clarified butter) is a premier rejuvenative, pacifying Vata and Pitta, enhancing memory and digestion.; Neurological; Ophthalmological; Rejuvenation","Neurological, Ophthalmological, Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/ghrita.html
Palandu,,,"Onion is a Vata-pacifying vegetable, acting as an aphrodisiac and nervine tonic, but can aggravate Pitta.","Madhura, Katu","Guru, Snigdha",Ushna,Madhura,"Vrishya, Balya","Onion is a Vata-pacifying vegetable, acting as an aphrodisiac and nervine tonic, but can aggravate Pitta.; Reproductive; Strengthening","Reproductive, Strengthening","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,"Pitta, Kapha",False,/p/palandu.html
Trapusha,,,"Cucumber is a cooling diuretic, excellent for pacifying Pitta, quenching thirst, and urinary health.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Mutrala, Dahashamana","Cucumber is a cooling diuretic, excellent for pacifying Pitta, quenching thirst, and urinary health.; Urinary",Urinary,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,"Vata, Kapha",False,/p/trapusha.html
Hrivera,,,"Also known as Valaka, this herb is used for fever, burning sensation, and digestive issues like diarrhea.",Tikta,"Laghu, Ruksha",Sheeta,Katu,"Jwaraghna, Grahi, Deepana","Also known as Valaka, this herb is used for fever, burning sensation, and digestive issues like diarrhea.; Anti-pyretic; Digestive","Anti-pyretic, Digestive","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,"Vata, Kapha",False,/p/hrivera.html
Plaksha,,,"A species of Fig tree, its bark is used for bleeding disorders, ulcers, and to pacify Pitta and Kapha.",Kashaya,"Guru, Ruksha",Sheeta,Katu,"Raktastambhana, Vranaropana","A species of Fig tree, its bark is used for bleeding disorders, ulcers, and to pacify Pitta and Kapha.",General Wellness,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/plaksha.html
Udumbara,,,"Gular Fig is a cooling, astringent herb used in the treatment of bleeding disorders and diabetes.",Kashaya,"Guru, Ruksha",Sheeta,Katu,"Raktastambhana, Pramehaghna","Gular Fig is a cooling, astringent herb used in the treatment of bleeding disorders and diabetes.",General Wellness,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/udumbara.html
Ashwattha,,,"The sacred Peepal tree's bark is used for its cooling and astringent properties, healing wounds and purifying blood.",Kashaya,"Guru, Ruksha",Sheeta,Katu,"Varnya, Vranaropana","Dermatological; The sacred Peepal tree's bark is used for its cooling and astringent properties, healing wounds and purifying blood.",Dermatological,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/ashwattha.html
Puga,,,"Areca nut (Betel nut) is a stimulant and astringent, but is used cautiously in Ayurveda.",Kashaya,"Guru, Ruksha",Sheeta,Katu,Deepana,"Areca nut (Betel nut) is a stimulant and astringent, but is used cautiously in Ayurveda.; Digestive",Digestive,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Kapha,"Pitta, Vata",False,/p/puga.html
Soubhagya Shunthi,,,A special preparation of dry ginger used postpartum to improve digestion and restore strength.,Katu,"Laghu, Snigdha",Ushna,Madhura,"Deepana, Pachana, Garbhashaya Shodhaka",A special preparation of dry ginger used postpartum to improve digestion and restore strength.; Digestive,Digestive,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/soubhagya-shunthi.html
Kakamachi,,,"Black nightshade is a tridoshic herb used for skin diseases, liver disorders, and as a rejuvenative.",Tikta,"Laghu, Snigdha",Ushna,Katu,"rasayan, Hridaya, Kushtaghna","Black nightshade is a tridoshic herb used for skin diseases, liver disorders, and as a rejuvenative.; Cardiac; Dermatological; Rejuvenation","Cardiac, Dermatological, Rejuvenation","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",tridosha,,True,/p/kakamachi.html
Mishreya,,,"Fennel seeds (Saunf) are excellent for digestion, relieving gas, and have a cooling effect on the body.",Madhura,"Laghu, Snigdha",Sheeta,Madhura,"Deepana, Chakshushya, Balya","Digestive; Fennel seeds (Saunf) are excellent for digestion, relieving gas, and have a cooling effect on the body.; Ophthalmological; Strengthening","Digestive, Ophthalmological, Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/mishreya.html
Shankhpushpi,,,"A premier brain tonic (Medhya rasayana), Shankhpushpi is renowned for enhancing memory, intellect, and calming the mind.",Tikta,Snigdha,Sheeta,Madhura,"Medhya, Nidrajanana, rasayan","A premier brain tonic (Medhya rasayana), Shankhpushpi is renowned for enhancing memory, intellect, and calming the mind.; Neurological; Rejuvenation","Neurological, Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/shankhpushpi.html
Kushtha,,,"Saussurea lappa is a strong Vata-pacifying herb, used for pain, respiratory ailments, and skin diseases.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Vatahara, Kushtaghna, Shukrala","Dermatological; Reproductive; Saussurea lappa is a strong Vata-pacifying herb, used for pain, respiratory ailments, and skin diseases.","Dermatological, Reproductive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/kushtha.html
Madanaphala,,,"Known as Emetic Nut, it is the best herb for inducing therapeutic vomiting (Vamana) in Panchakarma.","Madhura, Tikta","Laghu, Ruksha",Ushna,Katu,"Vamana, Lekhana","Known as Emetic Nut, it is the best herb for inducing therapeutic vomiting (Vamana) in Panchakarma.; Metabolic",Metabolic,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,/p/madanaphala.html
Patha,,,"Cissampelos pareira is a potent herb for detoxification, treating fever, urinary disorders, and diarrhea.",Tikta,"Laghu, Tikshna",Ushna,Katu,"Vishaghna, Grahi, Jwaraghna","Anti-pyretic; Anti-toxic; Cissampelos pareira is a potent herb for detoxification, treating fever, urinary disorders, and diarrhea.; Digestive","Anti-pyretic, Anti-toxic, Digestive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",tridosha,,True,/p/patha.html
Saptaparna,,,"Alstonia scholaris is a bitter tonic used primarily for skin diseases, intestinal worms, and malarial fever.","Tikta, Kashaya","Laghu, Snigdha",Ushna,Katu,"Kushtaghna, Krimighna, Jwaraghna","Alstonia scholaris is a bitter tonic used primarily for skin diseases, intestinal worms, and malarial fever.; Anti-parasitic; Anti-pyretic; Dermatological","Anti-parasitic, Anti-pyretic, Dermatological","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,/p/saptaparna.html
Shalmali,,,The Silk Cotton Tree's gum (Mocharas) is a cooling astringent used to stop bleeding and treat diarrhea.,Kashaya,"Snigdha, Guru",Sheeta,Madhura,"Grahi, Raktastambhana, rasayan",Digestive; Rejuvenation; The Silk Cotton Tree's gum (Mocharas) is a cooling astringent used to stop bleeding and treat diarrhea.,"Digestive, Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,"Vata, Kapha",False,/p/shalmali.html
Prasarini,,,"Paederia foetida is a specific remedy for neurological disorders with pain, especially arthritis and sciatica.",Tikta,Guru,Ushna,Katu,"Vatahara, Sandhanakaraka","Paederia foetida is a specific remedy for neurological disorders with pain, especially arthritis and sciatica.",General Wellness,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/Prasarini.html
Asana,,,Pterocarpus marsupium is a well-known anti-diabetic herb that also purifies the blood and helps with skin issues.,"Kashaya, Tikta","Laghu, Ruksha",Sheeta,Katu,"Pramehaghna, Kushtaghna, Raktashodhak",Blood Purification; Dermatological; Pterocarpus marsupium is a well-known anti-diabetic herb that also purifies the blood and helps with skin issues.,"Blood Purification, Dermatological","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/asana.html
Kushmanda,,,"Ash Gourd is a highly cooling and nourishing vegetable, acting as a diuretic and nervine tonic.",Madhura,"Laghu, Snigdha",Sheeta,Madhura,"Medhya, Mutrala, Balya","Ash Gourd is a highly cooling and nourishing vegetable, acting as a diuretic and nervine tonic.; Neurological; Strengthening; Urinary","Neurological, Strengthening, Urinary","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/kushmanda.html
Vartaku,,,Brinjal or Eggplant stimulates digestion and appetite but can aggravate Pitta if consumed in excess.,"Katu, Tikta","Laghu, Tikshna",Ushna,Katu,"Deepana, Hridaya",Brinjal or Eggplant stimulates digestion and appetite but can aggravate Pitta if consumed in excess.; Cardiac; Digestive,"Cardiac, Digestive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/vartaku.html
Dronapushpi,,,"Leucas cephalotes is used for fever, jaundice, and inflammatory conditions, especially liver-related issues.","Katu, Lavana","Guru, Ruksha",Ushna,Madhura,"Jwaraghna, Yakrituttejaka","Anti-pyretic; Hepatoprotective; Leucas cephalotes is used for fever, jaundice, and inflammatory conditions, especially liver-related issues.","Anti-pyretic, Hepatoprotective","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/dronapushpi.html
Swarnapatri,,,"Known as Senna, it is a strong stimulant laxative used for acute constipation.","Katu, Tikta","Laghu, Ruksha, Tikshna",Ushna,Katu,Virechana,"Known as Senna, it is a strong stimulant laxative used for acute constipation.; Purgative",Purgative,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,Pitta,False,/p/swarnapatri.html
Chandrashura,,,"Lepidium sativum seeds are highly nutritive, promoting strength and lactation after delivery.","Katu, Tikta","Laghu, Snigdha",Ushna,Katu,"Balya, Stanyajanana","Lepidium sativum seeds are highly nutritive, promoting strength and lactation after delivery.; Reproductive; Strengthening","Reproductive, Strengthening","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/chandrashura.html
Chirabilva,,,Holoptelea integrifolia is used in digestive disorders and to treat edema and piles.,"Kashaya, Tikta","Laghu, Ruksha",Ushna,Katu,"Lekhana, Grahi",Digestive; Holoptelea integrifolia is used in digestive disorders and to treat edema and piles.; Metabolic,"Digestive, Metabolic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Pitta",Vata,False,/p/chirabilva.html
Himsra,,,"Capparis sepiaria is a well-known hepatoprotective herb, commonly found in liver-support formulas.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Yakrituttejaka, Deepana","Capparis sepiaria is a well-known hepatoprotective herb, commonly found in liver-support formulas.; Digestive; Hepatoprotective","Digestive, Hepatoprotective","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/himsra.html
Karkatashringi,,,"Pistacia integerrima galls are used in treating cough, asthma, and diarrhea, especially in children.","Tikta, Kashaya",Guru,Ushna,Katu,"Kasahara, Shwasahara, Grahi","Digestive; Pistacia integerrima galls are used in treating cough, asthma, and diarrhea, especially in children.; Respiratory","Digestive, Respiratory","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/karkatashringi.html
