Food_Item,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Water_Intake (ml)
Jalapeno (1 tbsp sliced),4.0,0.1,0.8,0.1,0.4,0.5,1.0,0.0,0.0
Jasmine Rice (1 cup cooked),205.0,4.3,45.0,0.4,0.6,0.0,2.0,0.0,0.0
Jelly (1 tbsp grape),50.0,0.0,13.0,0.0,0.1,12.0,5.0,0.0,0.0
Jicama (1 cup sticks),46.0,0.9,10.6,0.1,5.8,2.1,5.0,0.0,0.0
Kale (1 cup in soup),33.0,2.9,6.0,0.6,2.0,1.0,29.0,0.0,0.0
Kefir (Plain 1 cup),104.0,10.0,10.0,2.5,0.0,9.0,100.0,10.0,240.0
Ketchup (1 packet),10.0,0.1,2.5,0.0,0.1,2.0,90.0,0.0,0.0
Ketchup (1 tbsp),20.0,0.2,5.0,0.1,0.2,4.0,160.0,0.0,0.0
Kibbeh (1 piece fried),230.0,9.0,20.0,13.0,3.0,1.0,450.0,30.0,0.0
Kimchi (1/2 cup),22.0,1.7,4.0,0.4,2.4,1.5,750.0,0.0,0.0
Kimchi Jjigae (1 bowl),350.0,15.0,20.0,22.0,5.0,6.0,1200.0,30.0,500.0
Kiwifruit (1 medium),46.0,0.9,11.1,0.4,2.3,6.7,2.0,0.0,0.0
Kombucha (1 cup),30.0,0.0,7.0,0.0,0.0,6.0,10.0,0.0,240.0
Kombucha (16 oz),60.0,0.0,14.0,0.0,0.0,12.0,20.0,0.0,473.0
Labneh (2 tbsp),60.0,4.0,2.0,4.0,0.0,2.0,80.0,15.0,0.0
Lasagna (1 serving meat),350.0,20.0,30.0,17.0,4.0,7.0,850.0,55.0,250.0
Lassi (Mango 1 cup),180.0,5.0,30.0,4.0,1.0,28.0,60.0,15.0,240.0
Lemon Bar (1 square),150.0,1.5,22.0,6.0,0.5,15.0,80.0,30.0,0.0
Lemon Juice (1 tbsp dressing),4.0,0.1,1.3,0.0,0.1,0.2,0.0,0.0,0.0
Lemon Juice (1 tsp in soup),1.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0
Lemon Slice (garnish),1.0,0.0,0.3,0.0,0.1,0.1,0.0,0.0,0.0
Lemon Wedge (for calamari),3.0,0.1,1.0,0.0,0.3,0.2,0.0,0.0,0.0
Lemonade (1 cup),99.0,0.1,26.0,0.0,0.1,25.0,30.0,0.0,240.0
Lentil Soup (1 can),230.0,15.0,35.0,3.0,12.0,6.0,650.0,0.0,250.0
Lentil Soup (1 cup Middle Eastern),200.0,10.0,30.0,5.0,10.0,4.0,700.0,0.0,250.0
Lettuce (Romaine 2 cups),16.0,1.0,3.0,0.3,2.0,1.0,10.0,0.0,0.0
Lime (juice of 1),11.0,0.2,3.7,0.0,0.4,0.7,1.0,0.0,0.0
Lime Juice (1 tbsp),4.0,0.1,1.3,0.0,0.1,0.2,0.0,0.0,0.0
Lime Wedge (garnish),3.0,0.1,1.0,0.0,0.3,0.2,0.0,0.0,0.0
Limoncello (1.5 oz shot),150.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0
Lobster (3oz steamed),76.0,16.0,0.0,0.7,0.0,0.0,250.0,125.0,250.0
Lobster Bisque (1 cup),250.0,8.0,12.0,18.0,1.0,3.0,850.0,50.0,250.0
Lomo Saltado (1.5 cups),500.0,35.0,45.0,22.0,5.0,6.0,1100.0,90.0,0.0
Macadamia Nuts (1 oz),204.0,2.2,3.9,21.5,2.4,1.3,1.0,0.0,0.0
Macaroni & Cheese (1 cup),350.0,10.0,40.0,17.0,2.0,5.0,750.0,40.0,250.0
Macaroni Salad (1 cup),380.0,8.0,30.0,25.0,3.0,6.0,750.0,20.0,0.0
Mackerel (3oz cooked),175.0,16.0,0.0,12.0,0.0,0.0,75.0,65.0,0.0
Malva Pudding (1 slice),380.0,5.0,60.0,14.0,2.0,40.0,350.0,60.0,0.0
Manakeesh (Za'atar 1 small),300.0,7.0,45.0,10.0,4.0,2.0,500.0,0.0,0.0
Mandarin Orange (1 medium),37.0,0.6,9.3,0.2,1.3,7.3,1.0,0.0,0.0
Mango (1 cup slices),99.0,1.4,24.7,0.6,2.6,22.5,2.0,0.0,0.0
Manicotti (2 shells cheese),380.0,20.0,35.0,18.0,4.0,7.0,650.0,60.0,0.0
Maple Syrup (1 tbsp),52.0,0.0,13.5,0.0,0.0,12.0,1.0,0.0,0.0
Maple Syrup (2 tbsp),104.0,0.0,27.0,0.0,0.0,24.0,2.0,0.0,0.0
Marshmallow (1 large),23.0,0.1,5.8,0.0,0.0,4.0,5.0,0.0,0.0
Mashed Cauliflower (1 cup),140.0,5.0,12.0,8.0,5.0,4.0,400.0,25.0,0.0
Mashed Potatoes (1 cup),230.0,4.0,35.0,8.0,3.0,2.0,350.0,15.0,0.0
Mashed Potatoes (side),150.0,3.0,25.0,4.0,2.0,2.0,300.0,10.0,0.0
Matcha Latte (12 oz),180.0,6.0,28.0,5.0,2.0,25.0,90.0,20.0,355.0
Mate (1 cup),5.0,0.2,1.0,0.0,0.0,0.0,2.0,0.0,240.0
Mayonnaise (1 tbsp for dipping),90.0,0.1,0.1,10.0,0.0,0.1,70.0,5.0,0.0
Mayonnaise (1 tbsp),90.0,0.1,0.1,10.0,0.0,0.1,70.0,5.0,0.0
Meatball Sub (6 inch),580.0,28.0,55.0,27.0,6.0,10.0,1200.0,70.0,500.0
Media Luna (1 pastry),190.0,4.0,25.0,8.0,1.0,9.0,150.0,25.0,0.0
Melted Butter (for lobster),200.0,0.2,0.0,22.0,0.0,0.0,164.0,60.0,0.0
Mignonette Sauce (1 tbsp),5.0,0.0,1.0,0.0,0.0,0.5,30.0,0.0,0.0
Mint (1 tbsp in tabouli),1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0
Mint Chutney (1 tbsp),5.0,0.2,0.5,0.0,0.3,0.2,150.0,0.0,0.0
Mint Tea (1 cup),2.0,0.1,0.5,0.0,0.0,0.0,5.0,0.0,240.0
Mixed Nuts (1/4 cup),200.0,6.0,8.0,18.0,3.0,2.0,1.0,0.0,0.0
Mocha Latte (16oz),360.0,12.0,48.0,15.0,2.0,42.0,150.0,45.0,473.0
Mozzarella (1 oz melted),80.0,6.0,1.0,6.0,0.0,0.5,150.0,20.0,0.0
Mozzarella (1 slice),80.0,6.0,1.0,6.0,0.0,0.5,150.0,20.0,0.0
Mozzarella (filling 0.5 oz),40.0,3.0,0.5,3.0,0.0,0.2,75.0,10.0,0.0
Muffin (Blueberry 1 large),380.0,5.0,55.0,16.0,2.0,30.0,350.0,50.0,250.0
Mushroom (White 1 cup sliced),15.0,2.2,2.3,0.2,0.7,1.4,4.0,0.0,0.0
Mussels (3oz steamed),146.0,20.0,6.0,4.0,0.0,0.0,310.0,48.0,0.0
Naan Bread (1 piece),260.0,8.0,45.0,5.0,2.0,3.0,450.0,10.0,0.0
Negroni (1 drink),190.0,0.0,15.0,0.0,0.0,15.0,5.0,0.0,90.0
Nutella (1 tbsp),100.0,1.5,11.0,6.0,1.0,10.0,10.0,0.0,0.0
Nutritional Yeast (1 tbsp),20.0,3.0,2.0,0.0,1.0,0.0,10.0,0.0,0.0
Oat Milk (1 cup),120.0,3.0,16.0,5.0,2.0,7.0,100.0,0.0,0.0
Oatmeal (1 cup cooked),160.0,6.0,28.0,3.0,4.0,1.0,2.0,0.0,250.0
Olive (garnish),5.0,0.0,0.1,0.5,0.1,0.0,30.0,0.0,0.0
Olive Oil (1 tbsp dressing),120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Olive Oil (1 tbsp drizzle),120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Olive Oil (1 tbsp on bread),120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Olive Oil (1 tbsp),120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Olive Oil (1 tsp garnish),40.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
Olives (5 side),35.0,0.2,1.0,3.5,0.5,0.0,210.0,0.0,0.0
Olives (Kalamata 5 large),35.0,0.2,1.0,3.5,0.5,0.0,210.0,0.0,0.0
Onion (1/2 cup raw chopped),32.0,0.9,7.5,0.1,1.4,3.8,3.0,0.0,0.0
Onion (1/8 minced in sauce),5.0,0.1,1.2,0.0,0.2,0.6,1.0,0.0,0.0
Onion Rings (6 rings),280.0,4.0,30.0,16.0,3.0,4.0,500.0,0.0,0.0
Onions (sautéed 1/4 cup),30.0,0.5,5.0,1.0,1.0,3.0,5.0,0.0,0.0
Orange,62.0,1.2,15.4,0.2,3.1,12.0,0.0,0.0,0.0
Orange Juice (1 cup),112.0,1.7,25.8,0.5,0.7,20.8,2.0,0.0,240.0
Orange Peel (garnish),1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0
Orange Sauce (1/4 cup for duck),90.0,0.5,22.0,0.0,0.5,20.0,200.0,0.0,0.0
Orange Slice (garnish),5.0,0.1,1.0,0.0,0.2,0.8,0.0,0.0,0.0
Oregano (1 tsp),3.0,0.1,0.7,0.0,0.2,0.0,0.0,0.0,0.0
Osso Buco (1 serving),550.0,45.0,15.0,30.0,4.0,6.0,900.0,150.0,0.0
Oyster (1 medium raw),8.0,1.0,0.5,0.2,0.0,0.0,50.0,10.0,0.0
Pad Thai (Chicken 1.5 cups),550.0,25.0,60.0,22.0,5.0,10.0,950.0,70.0,500.0
Paella (1.5 cups seafood),550.0,30.0,70.0,18.0,6.0,5.0,1200.0,110.0,0.0
Pancakes (2 medium),180.0,5.0,30.0,5.0,1.0,6.0,450.0,25.0,0.0
Pancetta (0.5 oz in sauce),45.0,1.5,0.0,4.5,0.0,0.0,160.0,10.0,0.0
Panettone (1 slice),320.0,6.0,50.0,12.0,3.0,25.0,200.0,70.0,0.0
Pani Puri (6 pcs),200.0,4.0,35.0,5.0,3.0,2.0,400.0,0.0,0.0
Panna Cotta (1 serving),300.0,4.0,25.0,20.0,0.0,22.0,50.0,70.0,0.0
Papaya (1 cup cubes),62.0,0.6,15.7,0.4,2.5,11.0,12.0,0.0,0.0
Parmigiano-Reggiano (1 tbsp),22.0,2.0,0.2,1.5,0.0,0.0,95.0,4.0,0.0
Parsley (1/4 cup in tabouli),5.0,0.3,1.0,0.1,0.5,0.1,5.0,0.0,0.0
Passion Fruit (1 fruit),17.0,0.4,4.2,0.1,1.9,2.0,5.0,0.0,0.0
Pasta Salad (1 cup),280.0,8.0,30.0,14.0,4.0,5.0,450.0,10.0,0.0
Pate (Mushroom 2 tbsp),70.0,1.0,2.0,7.0,1.0,1.0,100.0,0.0,0.0
Peanut Butter & Jelly Sandwich,390.0,12.0,50.0,17.0,5.0,20.0,450.0,0.0,250.0
Peanut Butter (2 tbsp),190.0,7.0,8.0,16.0,2.0,3.0,140.0,0.0,0.0
Peanut Sauce (2 tbsp),80.0,2.0,4.0,6.0,1.0,3.0,250.0,0.0,0.0
Pear,101.0,0.6,27.0,0.2,5.5,16.0,2.0,0.0,0.0
Pecans (1 oz),196.0,2.6,3.9,20.4,2.7,1.1,0.0,0.0,0.0
Pecorino Cheese (1 tbsp),25.0,1.5,0.1,2.0,0.0,0.0,110.0,6.0,0.0
Pecorino Romano (1/4 cup),110.0,7.5,1.0,8.5,0.0,0.0,450.0,25.0,0.0
Pepperoncini (2 peppers),10.0,0.5,2.0,0.0,1.0,1.0,350.0,0.0,0.0
Pesto (1/4 cup),290.0,5.0,4.0,29.0,2.0,1.0,600.0,5.0,0.0
Pesto Sauce (1/4 cup),260.0,5.0,4.0,26.0,2.0,1.0,550.0,5.0,0.0
Philly Cheesesteak (6 inch),500.0,25.0,40.0,28.0,3.0,5.0,1100.0,70.0,500.0
Pickle (1 spear dill),5.0,0.2,1.0,0.1,0.3,0.5,300.0,0.0,0.0
Pickle (1 whole dill),17.0,0.8,3.7,0.2,1.5,1.7,1200.0,0.0,0.0
Pickled Cucumber (1/4 cup),10.0,0.5,2.0,0.0,1.0,1.0,300.0,0.0,0.0
Pickled Radish (1/4 cup),15.0,0.5,3.0,0.0,1.0,2.0,250.0,0.0,0.0
Pickled Turnips (2 tbsp),10.0,0.2,2.0,0.0,0.5,1.0,200.0,0.0,0.0
Pico de Gallo (1/4 cup),15.0,0.5,3.0,0.0,1.0,2.0,200.0,0.0,0.0
Pine Nuts (1 tbsp in pesto),95.0,2.0,2.0,10.0,0.5,0.5,0.0,0.0,0.0
Pine Nuts (1 tbsp),95.0,2.0,2.0,10.0,0.5,0.5,0.0,0.0,0.0
Pine Nuts (1/2 tbsp filling),48.0,1.0,1.0,5.0,0.2,0.2,0.0,0.0,0.0
Pine Nuts (1/2 tbsp),48.0,1.0,1.0,5.0,0.2,0.2,0.0,0.0,0.0
Pisco Sour (1 drink),250.0,1.0,25.0,0.0,0.0,24.0,5.0,5.0,180.0
Pistachio (garnish),10.0,0.4,0.5,0.8,0.2,0.1,0.0,0.0,0.0
Pistachios (1 oz shelled),159.0,5.7,7.7,12.8,3.0,2.2,2.0,0.0,0.0
Pita Bread (1 white),165.0,5.5,33.0,1.2,1.5,1.5,310.0,0.0,0.0
Pita Bread (1 whole wheat),170.0,6.0,35.0,1.5,5.0,2.0,320.0,0.0,0.0
Pita Bread (White 1 large),220.0,7.0,45.0,2.0,2.0,2.0,440.0,0.0,0.0
Pita Crisps (1 oz),130.0,3.0,18.0,5.0,2.0,1.0,240.0,0.0,0.0
Pizza (1 slice pepperoni),290.0,12.0,34.0,12.0,2.0,4.0,720.0,35.0,250.0
Pizza (Margherita 1 slice),250.0,12.0,30.0,10.0,3.0,4.0,600.0,25.0,250.0
Poached Egg (1 large),72.0,6.3,0.4,4.8,0.0,0.4,140.0,185.0,0.0
Polenta (1 cup creamy),150.0,3.0,32.0,1.0,3.0,1.0,350.0,5.0,0.0
Polenta (grilled 1 slice),120.0,2.5,25.0,1.0,2.0,0.5,300.0,0.0,0.0
Pomegranate Molasses (1 tsp),15.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
Popcorn (3 cups air-popped),93.0,3.0,18.6,1.1,3.6,0.1,2.0,0.0,250.0
Pork Belly (1 oz in soup),145.0,3.0,0.0,15.0,0.0,0.0,150.0,20.0,0.0
Pork Bun (1 steamed),220.0,8.0,30.0,8.0,2.0,6.0,400.0,20.0,0.0
Pork Chop (4oz grilled),220.0,30.0,0.0,10.0,0.0,0.0,70.0,85.0,250.0
Pork Floss (1 tbsp),50.0,4.0,3.0,2.0,0.0,2.5,150.0,10.0,0.0
Potato (1/2 w/ pasta),65.0,1.0,15.0,0.1,1.0,0.5,3.0,0.0,0.0
Potato Chips (1 oz),160.0,2.0,15.0,10.0,1.0,0.5,170.0,0.0,0.0
Potato Leek Soup (1 cup),180.0,4.0,25.0,7.0,3.0,4.0,650.0,15.0,250.0
Potato Salad (1/2 cup),180.0,2.0,19.0,11.0,2.0,3.0,500.0,10.0,0.0
Powdered Sugar (1 tsp),10.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0
Pretzel Bun (1 medium),230.0,8.0,45.0,2.0,2.0,4.0,550.0,0.0,0.0
Pretzels (1 oz),110.0,3.0,23.0,1.0,1.0,1.0,450.0,0.0,0.0
Prosciutto (1 slice wrapper),35.0,4.0,0.0,2.5,0.0,0.0,280.0,10.0,0.0
Prosciutto (1 slice),35.0,4.0,0.0,2.5,0.0,0.0,280.0,10.0,0.0
Prosecco (3 oz),70.0,0.0,2.0,0.0,0.0,1.5,5.0,0.0,0.0
Protein Bar,210.0,20.0,22.0,7.0,6.0,1.0,180.0,5.0,500.0
Protein Shake (Whey),120.0,24.0,3.0,1.0,1.0,2.0,160.0,5.0,500.0
Provoleta (1 oz grilled cheese),100.0,7.0,1.0,8.0,0.0,0.5,250.0,20.0,0.0
Provolone Cheese (1 slice),100.0,7.0,1.0,8.0,0.0,0.5,250.0,20.0,0.0
Puff Pastry (1 oz wrapper),115.0,1.5,9.0,8.0,0.5,0.0,100.0,0.0,0.0
Pulled Pork Sandwich,480.0,25.0,48.0,20.0,3.0,15.0,900.0,75.0,250.0
Quesadilla (Cheese 1 medium),400.0,18.0,35.0,22.0,3.0,2.0,700.0,50.0,250.0
Quinoa (1 cup cooked),222.0,8.0,39.0,3.6,5.0,1.0,13.0,0.0,0.0
Quinoa Salad (1 cup),260.0,9.0,32.0,12.0,6.0,4.0,300.0,0.0,250.0
Ragù (filling 1 tbsp),25.0,1.5,1.0,1.5,0.5,0.5,60.0,5.0,0.0
Raisins (1 tbsp),27.0,0.3,7.0,0.0,0.3,6.0,1.0,0.0,0.0
Raisins (1/4 cup),130.0,1.3,34.0,0.2,1.6,25.0,5.0,0.0,0.0
Raita (2 tbsp),30.0,1.0,2.0,2.0,0.5,1.5,100.0,5.0,0.0
Ramen (Instant 1 pack),380.0,9.0,53.0,14.0,2.0,2.0,1580.0,0.0,500.0
Raspberries (1 cup),64.0,1.5,14.7,0.8,8.0,5.4,1.0,0.0,0.0
Red Cabbage (1 cup raw),22.0,1.1,5.2,0.1,1.6,2.8,8.0,0.0,0.0
Red Onion (1/4 cup in ceviche),16.0,0.3,3.7,0.0,0.4,1.8,1.0,0.0,0.0
Red Wine (5 oz glass),125.0,0.1,3.8,0.0,0.0,0.9,6.0,0.0,0.0
Refried Beans (1/2 cup),115.0,7.0,19.0,1.0,6.0,1.0,480.0,0.0,0.0
Reuben Sandwich,650.0,28.0,35.0,40.0,5.0,6.0,1500.0,100.0,500.0
Ribollita (1.5 cups soup),350.0,15.0,55.0,8.0,14.0,10.0,900.0,5.0,500.0
Rice (1/4 cup filling),51.0,1.1,11.1,0.1,0.1,0.0,0.0,0.0,0.0
Rice Krispies (1.5 cups),160.0,3.0,37.0,0.5,0.5,4.0,290.0,0.0,0.0
Ricotta (filling 1 oz),49.0,3.2,0.8,3.8,0.0,0.1,23.0,14.0,0.0
Ricotta Cheese (1/4 cup),85.0,5.5,2.5,6.0,0.0,1.0,50.0,24.0,0.0
Risotto (Mushroom 1 cup),250.0,7.0,35.0,9.0,3.0,3.0,600.0,20.0,0.0
Risotto alla Milanese (1 cup),350.0,10.0,50.0,12.0,3.0,3.0,700.0,30.0,0.0
Root Beer (1 can),150.0,0.0,40.0,0.0,0.0,40.0,55.0,0.0,355.0
Rosemary (1 tsp topping),1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0
Rosemary (garnish),1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0
Rye Bread (1 slice),83.0,2.7,15.5,1.1,1.9,1.2,170.0,0.0,0.0
Rye Crispbread (2 slices),70.0,2.0,14.0,0.5,3.0,0.0,120.0,0.0,0.0
S'more (1 serving),140.0,2.0,25.0,4.0,1.0,15.0,90.0,0.0,0.0
Saffron (pinch in risotto),1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Saffron (pinch),1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Sage (2 leaves),1.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0
Sage (in beans),1.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0
Sake (3 oz),117.0,0.4,3.8,0.0,0.0,0.0,4.0,0.0,0.0
Salami (3 slices),110.0,6.0,1.0,9.0,0.0,0.5,500.0,30.0,0.0
Salmon (4oz grilled),230.0,25.0,0.0,14.0,0.0,0.0,60.0,60.0,250.0
Salsa (1/4 cup),20.0,0.8,4.5,0.1,1.0,3.0,250.0,0.0,0.0
Salsa (2 tbsp),10.0,0.5,2.0,0.0,0.5,1.0,120.0,0.0,0.0
Salt (1/4 tsp),0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0
Saltimbocca (1 serving),380.0,38.0,5.0,22.0,0.5,1.0,850.0,120.0,0.0
Saltine Crackers (5 crackers),60.0,1.0,10.0,1.5,0.5,0.0,140.0,0.0,0.0
Samosa (1 piece vegetable),130.0,2.0,18.0,6.0,2.0,1.0,300.0,0.0,0.0
Sashimi (Salmon 3 pcs),120.0,18.0,0.0,5.0,0.0,0.0,45.0,40.0,0.0
Sauerkraut (1/2 cup),14.0,0.7,3.1,0.1,2.0,1.2,468.0,0.0,0.0
Sauerkraut (1/4 cup side),7.0,0.3,1.5,0.0,1.0,0.6,234.0,0.0,0.0
Sausage Link (1 cooked),85.0,5.0,1.0,7.0,0.0,0.5,300.0,20.0,0.0
Scallops (3oz seared),95.0,17.0,5.0,1.0,0.0,0.0,180.0,35.0,0.0
Scrambled Eggs (2 large),180.0,12.0,2.0,14.0,0.0,1.0,180.0,370.0,250.0
Sea Salt (coarse 1/4 tsp),0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0
Seaweed Salad (1/2 cup),60.0,2.0,8.0,3.0,2.0,4.0,350.0,0.0,0.0
Seitan (3oz),90.0,18.0,4.0,1.0,1.0,1.0,300.0,0.0,0.0
Sesame Oil (1 tsp),40.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
Shawarma (Chicken 1 wrap),550.0,30.0,50.0,25.0,6.0,5.0,1100.0,80.0,250.0
Shepherd's Pie (1 serving),400.0,20.0,35.0,20.0,6.0,7.0,850.0,55.0,250.0
Shish Tawook (2 skewers),300.0,35.0,5.0,16.0,1.0,2.0,600.0,100.0,0.0
Shredded Cheese (Cheddar 1/4 cup),115.0,7.0,1.0,9.5,0.0,0.5,180.0,30.0,0.0
Shrimp (3oz steamed),84.0,20.0,0.2,0.2,0.0,0.0,100.0,161.0,250.0
Shrimp Cocktail (4 large shrimp),60.0,10.0,1.0,1.0,0.0,0.5,300.0,110.0,0.0
Shrimp Scampi (1 cup),380.0,22.0,40.0,15.0,3.0,3.0,750.0,140.0,0.0
Side Salad (light dressing),70.0,2.0,8.0,4.0,3.0,3.0,150.0,0.0,0.0
Silken Tofu (3oz in soup),45.0,5.0,2.0,2.5,0.5,1.0,5.0,0.0,0.0
Simple Syrup (1/2 oz),30.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0
Skirt Steak (4oz grilled),240.0,26.0,0.0,15.0,0.0,0.0,70.0,80.0,0.0
Smoothie (Fruit & Yogurt),280.0,12.0,55.0,3.0,7.0,40.0,70.0,5.0,250.0
Soda (1 can Coke),140.0,0.0,39.0,0.0,0.0,39.0,45.0,0.0,355.0
Sour Cream (1 tbsp),30.0,0.4,0.6,2.9,0.0,0.4,12.0,6.0,0.0
Sour Cream (2 tbsp),60.0,0.8,1.3,5.8,0.0,0.8,25.0,12.0,0.0
Soy Milk (Original 1 cup),110.0,8.0,9.0,4.5,2.0,6.0,125.0,0.0,240.0
Soy Sauce (1 tbsp for dipping),9.0,1.0,1.0,0.0,0.1,0.4,920.0,0.0,0.0
Soy Sauce (1 tbsp in stir-fry),9.0,1.0,1.0,0.0,0.1,0.4,920.0,0.0,0.0
Soyrizo (2 oz),140.0,10.0,6.0,9.0,3.0,2.0,450.0,0.0,0.0
Spaghetti (side),100.0,3.5,21.0,0.5,1.0,0.5,0.0,0.0,0.0
Spaghetti Bolognese,460.0,20.0,55.0,18.0,6.0,10.0,700.0,50.0,250.0
Spicy Mustard (1 tbsp),10.0,0.5,1.0,0.5,0.5,0.0,120.0,0.0,0.0
Spinach Artichoke Dip (1/4 cup),160.0,5.0,6.0,14.0,2.0,2.0,350.0,30.0,0.0
Split Pea Soup (1 cup),180.0,11.0,30.0,2.0,10.0,6.0,700.0,5.0,250.0
Spring Roll (Veg 2 rolls),180.0,4.0,25.0,7.0,3.0,3.0,450.0,0.0,0.0
Sriracha (1 tsp),5.0,0.1,1.0,0.1,0.1,0.8,80.0,0.0,0.0
Stale Bread (1/2 cup in soup),80.0,3.0,15.0,1.0,1.0,1.5,160.0,0.0,0.0
Steamed Broccoli (1 cup),55.0,3.7,11.2,0.6,5.1,2.0,40.0,0.0,0.0
String Cheese (1 stick),80.0,6.0,1.0,6.0,0.0,0.0,210.0,20.0,0.0
Stuffed Grape Leaves (3 pcs),150.0,3.0,20.0,7.0,3.0,3.0,400.0,0.0,0.0
Sugar (1 tsp for cereal),16.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
Sumac (1/2 tsp dressing),5.0,0.1,1.0,0.2,0.5,0.0,1.0,0.0,0.0
Supplì (1 piece fried rice ball),200.0,8.0,25.0,8.0,2.0,2.0,400.0,25.0,0.0
Sweet & Sour Chicken (1 cup),380.0,18.0,45.0,15.0,3.0,25.0,750.0,50.0,0.0
Sweet Chili Sauce (2 tbsp),70.0,0.0,17.0,0.0,0.5,16.0,450.0,0.0,0.0
Sweet Potato (1 medium baked),103.0,2.3,23.6,0.2,3.8,7.4,41.0,0.0,0.0
Sweet Tea (16 oz),180.0,0.0,46.0,0.0,0.0,46.0,15.0,0.0,473.0
Sweet Vermouth (1 oz),40.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Swiss Cheese (1 slice),106.0,7.6,1.0,8.0,0.0,0.4,54.0,26.0,0.0
T-Bone Steak (6oz),460.0,38.0,0.0,33.0,0.0,0.0,110.0,105.0,0.0
Tabouli (1/2 cup),120.0,3.0,15.0,6.0,4.0,2.0,300.0,0.0,0.0
Tagliatelle al Ragù (Bolognese),550.0,28.0,65.0,20.0,7.0,8.0,850.0,70.0,500.0
Tahini (1 tbsp),89.0,2.6,3.2,8.0,1.4,0.1,17.0,0.0,0.0
Tahini Sauce (1 tbsp),30.0,1.0,1.5,2.5,0.5,0.0,45.0,0.0,0.0
Tamarind Chutney (1 tbsp),20.0,0.1,5.0,0.0,0.5,4.0,120.0,0.0,0.0
Tapioca Pearls (1/4 cup boba),100.0,0.0,25.0,0.0,0.0,20.0,5.0,0.0,0.0
Tartar Sauce (2 tbsp),60.0,0.2,2.0,5.5,0.1,1.5,180.0,5.0,0.0
Tempeh (3oz),160.0,16.0,8.0,9.0,5.0,0.0,10.0,0.0,0.0
Thai Basil (garnish),1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thai Iced Tea (1 glass),250.0,3.0,35.0,12.0,0.0,33.0,50.0,35.0,300.0
Tilapia (4oz baked),110.0,22.0,0.0,2.5,0.0,0.0,50.0,50.0,0.0
Tiramisu (1 slice),450.0,7.0,42.0,28.0,2.0,25.0,150.0,180.0,250.0
Tofu (4oz firm),90.0,10.0,3.0,5.0,2.0,1.0,10.0,0.0,0.0
Tofu Scramble,250.0,20.0,8.0,16.0,4.0,3.0,300.0,0.0,250.0
Tofu Stir-fry,400.0,18.0,30.0,22.0,7.0,9.0,500.0,0.0,250.0
Tomato (1 medium sliced),22.0,1.1,4.8,0.2,1.5,3.2,6.0,0.0,0.0
Tomato (1/4 cup side),8.0,0.3,1.8,0.1,0.5,1.2,2.0,0.0,0.0
Tomato Sauce (1/2 cup),40.0,1.5,7.0,1.0,2.0,4.0,350.0,0.0,0.0
Tomato Soup (1 can),170.0,4.0,25.0,6.0,4.0,15.0,900.0,10.0,0.0
Tortilla Chips (1 oz),140.0,2.0,19.0,7.0,2.0,0.5,120.0,0.0,0.0
Trail Mix (1/4 cup),190.0,5.0,20.0,12.0,3.0,14.0,50.0,0.0,250.0
Trofie Pasta (1 cup cooked),210.0,7.0,43.0,1.0,2.0,1.0,5.0,0.0,0.0
Tuna (Canned 3oz in water),90.0,20.0,0.0,1.0,0.0,0.0,250.0,35.0,0.0
Tuna Melt,450.0,25.0,32.0,25.0,3.0,4.0,900.0,50.0,250.0
Tuna Salad (1/2 cup),190.0,19.0,2.0,12.0,1.0,1.0,400.0,30.0,500.0
Tuna Sauce (2 tbsp),100.0,4.0,1.0,9.0,0.0,0.5,200.0,15.0,0.0
Turkey Bacon (2 slices),70.0,6.0,1.0,5.0,0.0,0.5,360.0,30.0,0.0
